Common Name,Scientific Name,Family,Distribution,Additional Data Available,Submitted name,FishBase accepted,WoRMS accepted,Provenance
Emperor angelfish,Pomacanthus imperator,,South West Indian Ocean,Pictured in report,Pomacanthus imperator,Pomacanthus imperator,nan,FishBase
Bluebarred parrotfish,Scarus ghobban,,South West Indian Ocean,Pictured in report,Scarus ghobban,Scarus ghobban,nan,FishBase
Coral rockcod,Cephalopholis miniata,,South West Indian Ocean,Pictured in report,Cephalopholis miniata,Cephalopholis miniata,nan,FishBase
Blackfish,nan,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,nan,Loligo reynaudii,WoRMS + SeaLifeBase
Yellowfin bream,nan,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,nan,Loligo reynaudii,WoRMS + SeaLifeBase
Tarwhine,nan,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,nan,Loligo reynaudii,WoRMS + SeaLifeBase
Trevally,nan,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,nan,Loligo reynaudii,WoRMS + SeaLifeBase
Yellowtail,nan,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,nan,Loligo reynaudii,WoRMS + SeaLifeBase
Samson fish,nan,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,nan,Loligo reynaudii,WoRMS + SeaLifeBase
Chokka squid,Loligo vulgaris reynaudii,,South coast of South Africa,Targeted in commercial fishery,,,,
Largetooth sawfish,Pristis pristis,Pristidae,East African shores; WIO waters; Indo-West Pacific-Atlantic,IUCN status: Critically Endangered (CE); CITES Appendix I listed; Once abundant on East African shores; Lives in shallow coastal waters and estuaries,Pristis pristis,Pristis pristis,nan,FishBase
Green sawfish,Pristis zijsron,Pristidae,WIO waters; Indo-West Pacific region,IUCN status: Critically Endangered (CE); CITES Appendix I listed; Once common in WIO waters,Pristis zijsron,Pristis zijsron,nan,FishBase
Sawfish,Pristis spp.,,East African shores,Now listed as globally critically endangered; Easily ensnared in nets,Pristis spp.,Pristis spp.,nan,—
Whale shark,Rhincodon typus,Rhincodontidae,SW Indian Ocean; Cosmopolitan,"IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix II listed; Included in UNCLOS Annex I; Resident population in Mafia Island, Tanzania",Rhincodon typus,Rhincodon typus,nan,FishBase
Longheaded eagle ray,Aetobatus flagellum,Myliobatidae,Indo-West Pacific region,IUCN status: Endangered (EN); Noted as threatened,Aetobatus flagellum,Aetobatus flagellum,nan,FishBase
Reticulate eagle ray,Aetomylaeus vespertilio,Myliobatidae,WIO – Pacific Ocean,IUCN status: Endangered (EN); Noted as threatened,Aetomylaeus vespertilio,Aetomylaeus vespertilio,nan,FishBase
Ornate electric sleeper ray,Electrolux addisoni,Narkidae,South Africa,IUCN status: Critically Endangered (CE); Noted as threatened,Electrolux addisoni,Electrolux addisoni,nan,FishBase
