Common Name,Scientific Name,Family,Distribution,Additional Data Available
Emperor angelfish,Pomacanthus imperator,,South West Indian Ocean,"Pictured in report"
Bluebarred parrotfish,Scarus ghobban,,South West Indian Ocean,"Pictured in report"
Coral rockcod,Cephalopholis miniata,,South West Indian Ocean,"Pictured in report"
Octopus,,,Cabo Delgado, Mozambique; Associated with rocky shores; Artisanal fishery in SWIO region,"Associated with rocky shores; Targeted in artisanal fishery; Pictured in Cabo Delgado, Mozambique; Fishery status in Comoros, Kenya, Madagascar, Mauritius, South Africa, Tanzania is known"
Blackfish,,,Associated with rocky shores,"Commercially important"
Yellowfin bream,,,Associated with rocky shores,"Commercially important"
Tarwhine,,,Associated with rocky shores,"Commercially important"
Trevally,,,Associated with rocky shores,"Commercially important"
Yellowtail,,,Associated with rocky shores,"Commercially important"
Samson fish,,,Associated with rocky shores,"Commercially important"
Chokka squid,Loligo vulgaris reynaudii,,South coast of South Africa,"Targeted in commercial fishery"
Largetooth sawfish,Pristis pristis,Pristidae,"East African shores; WIO waters; Indo-West Pacific-Atlantic","IUCN status: Critically Endangered (CE); CITES Appendix I listed; Once abundant on East African shores; Lives in shallow coastal waters and estuaries"
Green sawfish,Pristis zijsron,Pristidae,"WIO waters; Indo-West Pacific region","IUCN status: Critically Endangered (CE); CITES Appendix I listed; Once common in WIO waters"
Sawfish,Pristis spp.,,East African shores,"Now listed as globally critically endangered; Easily ensnared in nets"
Coelacanth,Latimeria chalumnae,,South Africa, Comoros, Mozambique Channel, Kenya; WIO,"IUCN status: Critically Endangered (CE); CITES Appendix I listed; Widespread in WIO on continental rises"
Whale shark,Rhincodon typus,Rhincodontidae,"SW Indian Ocean; Cosmopolitan","IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix II listed; Included in UNCLOS Annex I; Resident population in Mafia Island, Tanzania"
Longheaded eagle ray,Aetobatus flagellum,Myliobatidae,Indo-West Pacific region,"IUCN status: Endangered (EN); Noted as threatened"
Reticulate eagle ray,Aetomylaeus vespertilio,Myliobatidae,WIO – Pacific Ocean,"IUCN status: Endangered (EN); Noted as threatened"
Ornate electric sleeper ray,Electrolux addisoni,Narkidae,"South Africa","IUCN status: Critically Endangered (CE); Noted as threatened"
Narrow sawfish,Anoxypristis cuspidata,Pristidae,WIO - West Pacific Ocean,"IUCN status: Endangered (EN); CITES Appendix I listed; Noted as threatened"
Dwarf sawfish,Pristis clavata,Pristidae,WIO - West Pacific Ocean,"IUCN status: Endangered (EN); CITES Appendix I listed; Noted as threatened"
Natal shyshark,Haploblepharus kistnasamyi,Scyliorhinidae,South Africa,"IUCN status: Critically Endangered (CE); Noted as threatened"
Honeycomb Izak/Natal Izak,Holohalaelurus favus,Scyliorhinidae,"Mozambique, South Africa","IUCN status: Endangered (EN); Noted as threatened"
African Spotted catshark,Holohalaelurus punctatus,Scyliorhinidae,"Mozambique, South Africa","IUCN status: Endangered (EN); Noted as threatened"
Scalloped hammerhead,Sphyrna lewini,Sphyrnidae,Circumglobal,"IUCN status: Endangered (EN); CITES Appendix II listed; Included in UNCLOS Annex I; Vulnerable to overfishing"
Great hammerhead,Sphyrna mokarran,Sphyrnidae,Circumglobal,"IUCN status: Endangered (EN); CITES Appendix II listed; Included in UNCLOS Annex I"
Madagascar Kob,Argyrosomus hololepidotus,Sciaenidae,Madagascar,"IUCN status: Endangered (EN); Noted as threatened"
Humphead wrasse,Cheilinus undulatus,Labridae,Indo-Pacific region,"IUCN status: Endangered (EN); CITES Appendix II listed; Noted as threatened"
Southern Bluefin tuna,Thunnus maccoyii,Scombridae,Cosmopolitan,"IUCN status: Critically Endangered (CE); Included in UNCLOS Annex I; Noted as threatened; Managed by CCSBT"
