Common Name,Scientific Name,Family,Distribution,Additional Data Available,Submitted name,FishBase accepted,WoRMS accepted,Provenance
,Bolbometopon muricatum,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Bolbometopon muricatum,Bolbometopon muricatum,,FishBase
,Cheilinus undulatus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Cheilinus undulatus,Cheilinus undulatus,,FishBase
,Plectropomus laevis,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Plectropomus laevis,Plectropomus laevis,,FishBase
,Epinephelus lanceolatus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Epinephelus lanceolatus,Epinephelus lanceolatus,,FishBase
,Calloplesiops altivelis,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Calloplesiops altivelis,Calloplesiops altivelis,,FishBase
,Cephalopholis boenak,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Cephalopholis boenak,Cephalopholis boenak,,FishBase
,Abudefduf margariteus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Abudefdus margariteus,Abudefduf margariteus,,FishBase + WoRMS
,Acanthurus polyzona,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Acanthrurus polyzona,Acanthurus polyzona,,FishBase + WoRMS
,Hippocampus histrix,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Hyppocampus histrix,Hippocampus histrix,,FishBase + WoRMS
,Hippocampus whitei,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Hyppocampus whitei,Hippocampus whitei,,FishBase + WoRMS
,Eurypegasus draconis,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Euripegasus draconis,Eurypegasus draconis,,FishBase + WoRMS
,Carcharodon carcharias,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Carcharon carcharias,Carcharodon carcharias,,FishBase + WoRMS
,Nebrius ferrugineus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Nebrius ferrugineus,Nebrius ferrugineus,,FishBase
,Negaprion acutidens,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Negaprion acutidens,Negaprion acutidens,,FishBase
,Rhincodon typus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Rhyncodon typus,Rhincodon typus,,FishBase + WoRMS
,Sphyrna lewini,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Sphyrna lewini,Sphyrna lewini,,FishBase
,Manta birostris,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Manta birostris,Manta birostris,,FishBase
,Urogymnus asperrimus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Urogymnus asperrimus,Urogymnus asperrimus,,FishBase
,Carcharhinus amblyrhynchos,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Carcharinus amblyrhynchos,Carcharhinus amblyrhynchos,,FishBase + WoRMS
,Carcharhinus melanopterus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Carcharhinus melanopterus,Carcharhinus melanopterus,,FishBase
,Galeocerdo cuvier,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Galeocerdi cuvieri,Galeocerdo cuvier,,FishBase + WoRMS
,Triaenodon obesus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Triaenodon obesus,Triaenodon obesus,,FishBase
