Common Name,Scientific Name,Family,Distribution,Additional Data Available,Submitted name,FishBase accepted,WoRMS accepted,Provenance,IUCN redlist status,IUCN redlist status (FishBase),IUCN assessment date (FishBase)
Emperor angelfish,Pomacanthus imperator,,South West Indian Ocean,Pictured in report,Pomacanthus imperator,Pomacanthus imperator,,FishBase,Not Evaluated,LC,2009-10-08
Bluebarred parrotfish,Scarus ghobban,,South West Indian Ocean,Pictured in report,Scarus ghobban,Scarus ghobban,,FishBase,Not Evaluated,LC,2009-09-18
Coral rockcod,Cephalopholis miniata,,South West Indian Ocean,Pictured in report,Cephalopholis miniata,Cephalopholis miniata,,FishBase,Not Evaluated,LC,2017-11-12
Blackfish,,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,,Loligo reynaudii,WoRMS + SeaLifeBase,Not Evaluated,,
Yellowfin bream,,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,,Loligo reynaudii,WoRMS + SeaLifeBase,Not Evaluated,,
Tarwhine,,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,,Loligo reynaudii,WoRMS + SeaLifeBase,Not Evaluated,,
Trevally,,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,,Loligo reynaudii,WoRMS + SeaLifeBase,Not Evaluated,,
Yellowtail,,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,,Loligo reynaudii,WoRMS + SeaLifeBase,Not Evaluated,,
Samson fish,,,Associated with rocky shores,Commercially important,Loligo vulgaris reynaudii,,Loligo reynaudii,WoRMS + SeaLifeBase,Not Evaluated,,
Chokka squid,Loligo vulgaris reynaudii,,South coast of South Africa,Targeted in commercial fishery,,,,,Not Evaluated,,
Largetooth sawfish,Pristis pristis,Pristidae,East African shores; WIO waters; Indo-West Pacific-Atlantic,IUCN status: Critically Endangered (CE); CITES Appendix I listed; Once abundant on East African shores; Lives in shallow coastal waters and estuaries,Pristis pristis,Pristis pristis,,FishBase,Critically Endangered,Critically Endangered (CR) (A2cd),2013-03-04
Green sawfish,Pristis zijsron,Pristidae,WIO waters; Indo-West Pacific region,IUCN status: Critically Endangered (CE); CITES Appendix I listed; Once common in WIO waters,Pristis zijsron,Pristis zijsron,,FishBase,Critically Endangered,Critically Endangered (CR) (A2cd),2019-07-01
Sawfish,Pristis spp.,,East African shores,Now listed as globally critically endangered; Easily ensnared in nets,Pristis spp.,Pristis spp.,,—,Not Evaluated,,
Whale shark,Rhincodon typus,Rhincodontidae,SW Indian Ocean; Cosmopolitan,"IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix II listed; Included in UNCLOS Annex I; Resident population in Mafia Island, Tanzania",Rhincodon typus,Rhincodon typus,,FishBase,Vulnerable,Endangered (EN) (A2bd+4bd),2016-12-21
Longheaded eagle ray,Aetobatus flagellum,Myliobatidae,Indo-West Pacific region,IUCN status: Endangered (EN); Noted as threatened,Aetobatus flagellum,Aetobatus flagellum,,FishBase,Endangered,EN,2020-04-30
Reticulate eagle ray,Aetomylaeus vespertilio,Myliobatidae,WIO – Pacific Ocean,IUCN status: Endangered (EN); Noted as threatened,Aetomylaeus vespertilio,Aetomylaeus vespertilio,,FishBase,Endangered,EN,2020-12-18
Ornate electric sleeper ray,Electrolux addisoni,Narkidae,South Africa,IUCN status: Critically Endangered (CE); Noted as threatened,Electrolux addisoni,Electrolux addisoni,,FishBase,Critically Endangered,LC,2018-04-25
Narrow sawfish,Anoxypristis cuspidata,Pristidae,WIO - West Pacific Ocean,IUCN status: Endangered (EN); CITES Appendix I listed; Noted as threatened,Anoxypristis cuspidata,Anoxypristis cuspidata,,FishBase,Endangered,CR,2022-03-29
Dwarf sawfish,Pristis clavata,Pristidae,WIO - West Pacific Ocean,IUCN status: Endangered (EN); CITES Appendix I listed; Noted as threatened,Pristis clavata,Pristis clavata,,FishBase,Endangered,Critically Endangered (CR) (A2cd),2015-02-27
Natal shyshark,Haploblepharus kistnasamyi,Scyliorhinidae,South Africa,IUCN status: Critically Endangered (CE); Noted as threatened,Haploblepharus kistnasamyi,Haploblepharus kistnasamyi,,FishBase,Critically Endangered,,
Honeycomb Izak/Natal Izak,Holohalaelurus favus,Scyliorhinidae,"Mozambique, South Africa",IUCN status: Endangered (EN); Noted as threatened,Holohalaelurus favus,Holohalaelurus favus,,FishBase,Not Evaluated,,
African Spotted catshark,Holohalaelurus punctatus,Scyliorhinidae,"Mozambique, South Africa",IUCN status: Endangered (EN); Noted as threatened,Holohalaelurus punctatus,Holohalaelurus punctatus,,FishBase,Not Evaluated,,
Scalloped hammerhead,Sphyrna lewini,Sphyrnidae,Circumglobal,IUCN status: Endangered (EN); CITES Appendix II listed; Included in UNCLOS Annex I; Vulnerable to overfishing,Sphyrna lewini,Sphyrna lewini,,FishBase,Not Evaluated,Critically Endangered (CR) (A2bd),2018-11-08
Great hammerhead,Sphyrna mokarran,Sphyrnidae,Circumglobal,IUCN status: Endangered (EN); CITES Appendix II listed; Included in UNCLOS Annex I,Sphyrna mokarran,Sphyrna mokarran,,FishBase,Not Evaluated,Critically Endangered (CR) (A2bd),2018-11-08
Madagascar Kob,Argyrosomus hololepidotus,Sciaenidae,Madagascar,IUCN status: Endangered (EN); Noted as threatened,Argyrosomus hololepidotus,Argyrosomus hololepidotus,,FishBase,Not Evaluated,,
Humphead wrasse,Cheilinus undulatus,Labridae,Indo-Pacific region,IUCN status: Endangered (EN); CITES Appendix II listed; Noted as threatened,Cheilinus undulatus,Cheilinus undulatus,,FishBase,Critically Endangered,Endangered (EN) (A2bd+3bd),30 April 2004
Southern Bluefin tuna,Thunnus maccoyii,Scombridae,Cosmopolitan,IUCN status: Critically Endangered (CE); Included in UNCLOS Annex I; Noted as threatened; Managed by CCSBT,Thunnus maccoyii,Thunnus maccoyii,,FishBase,Not Evaluated,EN,2021-01-15
Longfin mako,Isurus paucus,Lamnidae,Cosmopolitan,IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in CMS Appendix II,Isurus paucus,Isurus paucus,,FishBase,Not Evaluated,EN,2018-11-05
Shortfin mako,Isurus oxyrinchus,Lamnidae,Indo-West Pacific region,IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in CMS Appendix II,Isurus oxyrinchus,Isurus oxyrinchus,,FishBase,Not Evaluated,EN,2018-11-07
Oceanic whitetip shark,Carcharhinus longimanus,Carcharhinidae,Circumtropical,IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix II listed; Vulnerable to overfishing; Protected by IOTC measures,Carcharhinus longimanus,Carcharhinus longimanus,,FishBase,Vulnerable,CR,2018-11-07
Sandbar shark,Carcharhinus plumbeus,Carcharhinidae,Circumglobal,IUCN status: Vulnerable (VU),Carcharhinus plumbeus,Carcharhinus plumbeus,,FishBase,Vulnerable,EN,2020-12-03
Dusky shark,Carcharhinus obscurus,Carcharhinidae,Cosmopolitan,IUCN status: Vulnerable (VU),Carcharhinus obscurus,Carcharhinus obscurus,,FishBase,Vulnerable,EN,2018-11-06
Great white shark,Carcharodon carcharias,Lamnidae,Cosmopolitan,IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix I & II listed,Carcharodon carcharias,Carcharodon carcharias,,FishBase,Vulnerable,Vulnerable (VU) (A2bd),2018-11-08
Basking shark,Cetorhinus maximus,Cetorhinidae,Cosmopolitan,IUCN status: Vulnerable (VU); CITES Appendix II listed; CMS Appendix I & II listed,Cetorhinus maximus,Cetorhinus maximus,,FishBase,Not Evaluated,EN,2018-11-06
Zebra shark,Stegostoma fasciatum,Stegostomatidae,Indo-Pacific region,IUCN status: Vulnerable (VU),,,,,Not Evaluated,EN,2023-06-22
Spotted ragged-tooth shark,Carcharias taurus,Odontaspididae,Subtropical/temperate,IUCN status: Vulnerable (VU),Carcharias taurus,Carcharias taurus,,FishBase,Vulnerable,CR,2020-12-07
Bigeye thresher,Alopias superciliosus,Alopiidae,Circumglobal,IUCN status: Vulnerable (VU),Alopias superciliosus,Alopias superciliosus,,FishBase,Vulnerable,VU,2018-11-06
Common thresher,Alopias vulpinus,Alopiidae,Circumglobal,IUCN status: Vulnerable (VU),Alopias vulpinus,Alopias vulpinus,,FishBase,Vulnerable,VU,2018-11-06
Pelagic thresher,Alopias pelagicus,Alopiidae,WIO – Pacific Ocean,IUCN status: Vulnerable (VU),Alopias pelagicus,Alopias pelagicus,,FishBase,Vulnerable,EN,2018-11-06
Smooth hammerhead,Sphyrna zygaena,Sphyrnidae,Circumglobal,IUCN status: Vulnerable (VU); CITES Appendix II listed; Included in UNCLOS Annex I,Sphyrna zygaena,Sphyrna zygaena,,FishBase,Not Evaluated,Vulnerable (VU) (A2bd),2018-11-08
Daggernose shark,Isogomphodon oxyrhynchus,Carcharhinidae,West Atlantic,IUCN status: Vulnerable (VU),Isogomphodon oxyrhynchus,Isogomphodon oxyrhynchus,,FishBase,Not Evaluated,CR,2019-07-01
Ganges shark,Glyphis gangeticus,Carcharhinidae,Indo-West Pacific region,IUCN status: Vulnerable (VU); CITES Appendix II listed,Glyphis gangeticus,Glyphis gangeticus,,FishBase,Not Evaluated,CR,2021-01-22
Gulper shark,Centrophorus granulosus,Centrophoridae,Circumglobal,IUCN status: Vulnerable (VU),Centrophorus granulosus,Centrophorus granulosus,,FishBase,Vulnerable,CR,2003-03-01
Tope shark,Galeorhinus galeus,Triakidae,"Widespread (Mozambique, South Africa)",IUCN status: Vulnerable (VU),Galeorhinus galeus,Galeorhinus galeus,,FishBase,Vulnerable,CR,2020-12-11
Milk shark,Rhizoprionodon acutus,Carcharhinidae,Indo-West Pacific region,IUCN status: Vulnerable (VU),Rhizoprionodon acutus,Rhizoprionodon acutus,,FishBase,Not Evaluated,VU,2020-02-04
Grey nurse shark,Carcharias taurus,Odontaspididae,Subtropical/temperate,IUCN status: Vulnerable (VU),Carcharias taurus,Carcharias taurus,,FishBase,Vulnerable,CR,2020-12-07
Bigeye tuna,Thunnus obesus,Scombridae,Circumtropical,IUCN status: Vulnerable (VU); Included in UNCLOS Annex I; Stock status considered relatively good in Indian Ocean,Thunnus obesus,Thunnus obesus,,FishBase,Not Evaluated,VU,2021-01-15
Blue marlin,Makaira nigricans,Istiophoridae,Cosmopolitan,IUCN status: Vulnerable (VU); Included in UNCLOS Annex I; IOTC assessment: overfished but not subject to overfishing,Makaira nigricans,Makaira nigricans,,FishBase,Not Evaluated,VU,2021-05-10
Black-saddle grouper,Plectropomus laevis,Serranidae,Indo-Pacific region,IUCN status: Vulnerable (VU); Red-flagged species,Plectropomus laevis,Plectropomus laevis,,FishBase,Not Evaluated,LC,2016-11-21
Giant grouper,Epinephelus lanceolatus,Serranidae,Indo-Pacific region,IUCN status: Vulnerable (VU); Red-flagged species,Epinephelus lanceolatus,Epinephelus lanceolatus,,FishBase,Not Evaluated,DD,2016-11-18
Lunartail grouper,Epinephelus albomarginatus,Serranidae,WIO - India,IUCN status: Vulnerable (VU); Red-flagged species,Epinephelus albomarginatus,Epinephelus albomarginatus,,FishBase,Not Evaluated,VU,2016-11-20
Green humphead parrotfish,Bolbometopon muricatum,Scaridae,Indo-West Pacific region,IUCN status: Vulnerable (VU); Red-flagged species,Bolbometopon muricatum,Bolbometopon muricatum,,FishBase,Vulnerable,Vulnerable (VU) (A2d),02 March 2007
Indo-Pacific bonefish,Albula glossodonta,Albulidae,Indo-Pacific region,IUCN status: Vulnerable (VU),Albula glossodonta,Albula glossodonta,,FishBase,Not Evaluated,VU,2011-03-29
Thorny seahorse,Hippocampus histrix,Syngnathidae,Indo-Pacific region,IUCN status: Vulnerable (VU); CITES Appendix II listed,Hippocampus histrix,Hippocampus histrix,,FishBase,Not Evaluated,VU,2017-01-26
Kellogg's seahorse,Hippocampus kelloggi,Syngnathidae,Indo-Pacific region,IUCN status: Vulnerable (VU); CITES Appendix II listed,Hippocampus kelloggi,Hippocampus kelloggi,,FishBase,Not Evaluated,VU,2017-01-27
,Bolbometopon muricatum,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Bolbometopon muricatum,Bolbometopon muricatum,,FishBase,Vulnerable,Vulnerable (VU) (A2d),02 March 2007
,Cheilinus undulatus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Cheilinus undulatus,Cheilinus undulatus,,FishBase,Critically Endangered,Endangered (EN) (A2bd+3bd),30 April 2004
,Plectropomus laevis,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Plectropomus laevis,Plectropomus laevis,,FishBase,Not Evaluated,LC,2016-11-21
,Epinephelus lanceolatus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Epinephelus lanceolatus,Epinephelus lanceolatus,,FishBase,Not Evaluated,DD,2016-11-18
,Calloplesiops altivelis,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Calloplesiops altivelis,Calloplesiops altivelis,,FishBase,Not Evaluated,LC,2019-08-12
,Cephalopholis boenak,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Cephalopholis boenak,Cephalopholis boenak,,FishBase,Not Evaluated,LC,2016-11-16
,Abudefduf margariteus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Abudefdus margariteus,Abudefduf margariteus,,FishBase + WoRMS,Not Evaluated,,
,Acanthurus polyzona,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Acanthrurus polyzona,Acanthurus polyzona,,FishBase + WoRMS,Not Evaluated,,
,Hippocampus histrix,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Hyppocampus histrix,Hippocampus histrix,,FishBase + WoRMS,Not Evaluated,VU,2017-01-26
,Hippocampus whitei,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Hyppocampus whitei,Hippocampus whitei,,FishBase + WoRMS,Not Evaluated,,
,Eurypegasus draconis,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Euripegasus draconis,Eurypegasus draconis,,FishBase + WoRMS,Not Evaluated,LC,2016-07-11
,Carcharodon carcharias,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Carcharon carcharias,Carcharodon carcharias,,FishBase + WoRMS,Vulnerable,Vulnerable (VU) (A2bd),2018-11-08
,Nebrius ferrugineus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Nebrius ferrugineus,Nebrius ferrugineus,,FishBase,Vulnerable,,
,Negaprion acutidens,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Negaprion acutidens,Negaprion acutidens,,FishBase,Vulnerable,,
,Rhincodon typus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Rhyncodon typus,Rhincodon typus,,FishBase + WoRMS,Vulnerable,Endangered (EN) (A2bd+4bd),2016-12-21
,Sphyrna lewini,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Sphyrna lewini,Sphyrna lewini,,FishBase,Not Evaluated,Critically Endangered (CR) (A2bd),2018-11-08
,Manta birostris,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Manta birostris,Manta birostris,,FishBase,Vulnerable,,
,Urogymnus asperrimus,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Urogymnus asperrimus,Urogymnus asperrimus,,FishBase,Vulnerable,Endangered (EN) (A2cd),16 June 2023
,Carcharhinus amblyrhynchos,,Western Indian Ocean,Mentioned in WIO MPA Outlook (2021) PDF,Carcharinus amblyrhynchos,Carcharhinus amblyrhynchos,,FishBase + WoRMS,Not Evaluated,,
