respondent_number,sentiment,confidence,score,positive_words,negative_words,total_words,sentiment_word_ratio,text_length
2,neutral,medium,-1,1,2,397,0.008,2450
3,negative,high,-3,3,6,294,0.031,2016
4,positive,high,3,6,3,922,0.01,5580
5,positive,medium,2,3,1,313,0.013,1902
6,positive,high,4,5,1,482,0.012,3060
7,positive,high,4,5,1,482,0.012,3060
8,positive,medium,2,3,1,339,0.012,2240
9,positive,medium,2,2,0,435,0.005,2740
10,negative,medium,-2,2,4,214,0.028,1189
11,neutral,medium,1,1,0,384,0.003,2288
12,neutral,low,0,2,2,303,0.013,1857
13,neutral,medium,1,3,2,400,0.013,2616
14,neutral,medium,1,3,2,290,0.017,1945
15,neutral,low,0,2,2,295,0.014,1875
16,neutral,low,0,1,1,357,0.006,2201
17,neutral,low,0,1,1,357,0.006,2201
18,negative,medium,-2,1,3,217,0.018,1471
19,neutral,medium,-1,2,3,392,0.013,2453
20,negative,medium,-2,1,3,516,0.008,3111
21,positive,high,3,5,2,390,0.018,2345
22,neutral,medium,1,1,0,263,0.004,1697
23,positive,high,3,4,1,318,0.016,2056
24,neutral,low,0,3,3,471,0.013,2780
25,neutral,medium,1,4,3,310,0.023,1719
26,negative,high,-3,2,5,336,0.021,2003
27,negative,medium,-2,4,6,705,0.014,4126
28,positive,medium,2,2,0,373,0.005,2374
29,neutral,medium,-1,4,5,487,0.018,2879
30,neutral,medium,-1,4,5,369,0.024,2375
31,positive,medium,2,5,3,725,0.011,4151
32,positive,high,3,5,2,587,0.012,3612
33,positive,high,3,3,0,169,0.018,1032
34,neutral,medium,-1,1,2,454,0.007,2813
35,neutral,medium,1,2,1,603,0.005,3397
36,neutral,low,0,2,2,329,0.012,2152
37,positive,medium,2,4,2,1039,0.006,6003
38,positive,medium,2,5,3,424,0.019,2630
39,negative,medium,-2,2,4,404,0.015,2482
40,positive,high,3,4,1,279,0.018,1804
41,neutral,low,0,1,1,292,0.007,1796
42,neutral,low,0,3,3,594,0.01,3596
43,positive,medium,2,5,3,668,0.012,3961
44,neutral,low,0,1,1,483,0.004,2917
45,negative,high,-3,3,6,569,0.016,3366
46,positive,medium,2,5,3,361,0.022,2195
47,positive,high,3,4,1,349,0.014,2258
48,neutral,medium,-1,1,2,193,0.016,1139
49,positive,medium,2,4,2,288,0.021,1680
50,neutral,low,0,3,3,309,0.019,2022
51,positive,medium,2,2,0,256,0.008,1539
52,negative,medium,-2,2,4,356,0.017,2148
53,neutral,low,0,1,1,425,0.005,2458
54,neutral,low,0,4,4,869,0.009,4890
55,negative,high,-4,3,7,449,0.022,2764
56,positive,medium,2,3,1,362,0.011,2205
57,negative,high,-3,1,4,391,0.013,2487
58,positive,high,3,3,0,327,0.009,2091
59,positive,high,3,5,2,613,0.011,3820
60,positive,high,3,5,2,1114,0.006,6630
61,neutral,medium,-1,1,2,313,0.01,1990
