"","Indicator","ParentLocation","Location","FactValueNumeric","SDG"
"SDG3.5.1","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Libya",0,"SDG3.5"
"SDG3.5.2","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Yemen",0,"SDG3.5"
"SDG3.5.3","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Afghanistan",0,"SDG3.5"
"SDG3.5.4","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Bangladesh",0,"SDG3.5"
"SDG3.5.5","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Kuwait",0,"SDG3.5"
"SDG3.5.6","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Mauritania",0,"SDG3.5"
"SDG3.5.7","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Saudi Arabia",0,"SDG3.5"
"SDG3.5.8","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Somalia",0,"SDG3.5"
"SDG3.5.9","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Egypt",0.2,"SDG3.5"
"SDG3.5.10","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Indonesia",0.2,"SDG3.5"
"SDG3.5.11","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Pakistan",0.3,"SDG3.5"
"SDG3.5.12","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Bhutan",0.3,"SDG3.5"
"SDG3.5.13","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Syrian Arab Republic",0.3,"SDG3.5"
"SDG3.5.14","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Iraq",0.4,"SDG3.5"
"SDG3.5.15","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Tonga",0.4,"SDG3.5"
"SDG3.5.16","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Morocco",0.4,"SDG3.5"
"SDG3.5.17","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Niger",0.5,"SDG3.5"
"SDG3.5.18","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Brunei Darussalam",0.5,"SDG3.5"
"SDG3.5.19","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Djibouti",0.5,"SDG3.5"
"SDG3.5.20","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Nepal",0.5,"SDG3.5"
"SDG3.5.21","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Azerbaijan",0.5,"SDG3.5"
"SDG3.5.22","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Timor-Leste",0.5,"SDG3.5"
"SDG3.5.23","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Senegal",0.6,"SDG3.5"
"SDG3.5.24","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Jordan",0.6,"SDG3.5"
"SDG3.5.25","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Algeria",0.6,"SDG3.5"
"SDG3.5.26","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Comoros",0.8,"SDG3.5"
"SDG3.5.27","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Malaysia",0.8,"SDG3.5"
"SDG3.5.28","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Oman",0.8,"SDG3.5"
"SDG3.5.29","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Tajikistan",0.9,"SDG3.5"
"SDG3.5.30","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Iran (Islamic Republic of)",1,"SDG3.5"
"SDG3.5.31","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Guinea",1.2,"SDG3.5"
"SDG3.5.32","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Mali",1.3,"SDG3.5"
"SDG3.5.33","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Democratic Republic of the Congo",1.3,"SDG3.5"
"SDG3.5.34","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Bahrain",1.4,"SDG3.5"
"SDG3.5.35","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Lebanon",1.5,"SDG3.5"
"SDG3.5.36","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Chad",1.6,"SDG3.5"
"SDG3.5.37","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Eastern Mediterranean","Qatar",1.6,"SDG3.5"
"SDG3.5.38","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Solomon Islands",1.6,"SDG3.5"
"SDG3.5.39","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Ethiopia",1.6,"SDG3.5"
"SDG3.5.40","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Guatemala",1.7,"SDG3.5"
"SDG3.5.41","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","South-East Asia","Myanmar",1.7,"SDG3.5"
"SDG3.5.42","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Madagascar",1.9,"SDG3.5"
"SDG3.5.43","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Vanuatu",1.9,"SDG3.5"
"SDG3.5.44","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Turkey",1.9,"SDG3.5"
"SDG3.5.45","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Americas","Barbados",10,"SDG3.5"
"SDG3.5.46","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Ukraine",10.1,"SDG3.5"
"SDG3.5.47","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Denmark",10.4,"SDG3.5"
"SDG3.5.48","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","New Zealand",10.4,"SDG3.5"
"SDG3.5.49","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Lao People's Democratic Republic",10.5,"SDG3.5"
"SDG3.5.50","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Africa","Burkina Faso",10.7,"SDG3.5"
"SDG3.5.51","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Greece",10.8,"SDG3.5"
"SDG3.5.52","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Cyprus",10.8,"SDG3.5"
"SDG3.5.53","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Australia",10.8,"SDG3.5"
"SDG3.5.54","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Western Pacific","Cook Islands",10.9,"SDG3.5"
"SDG3.5.55","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Latvia",11,"SDG3.5"
"SDG3.5.56","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Finland",11,"SDG3.5"
"SDG3.5.57","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Montenegro",11.1,"SDG3.5"
"SDG3.5.58","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Belarus",11.1,"SDG3.5"
"SDG3.5.59","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Europe","Slovakia",11.2,"SDG3.5"
