"nu","0.50","0.20","0.10","0.05","0.02","0.01","0.005","0.002","0.001"
"1","1.000","3.078","6.314","12.706","31.821","63.657","127.321","318.309","636.619"
"2","0.816","1.886","2.920","4.303","6.965","9.925","14.089","22.327","31.599"
"3","0.765","1.638","2.353","3.182","4.541","5.841","7.453","10.215","12.924"
"4","0.741","1.533","2.132","2.776","3.747","4.604","5.598","7.173","8.610"
"5","0.727","1.476","2.015","2.571","3.365","4.032","4.773","5.893","6.869"
"6","0.718","1.440","1.943","2.447","3.143","3.707","4.317","5.208","5.959"
"7","0.711","1.415","1.895","2.365","2.998","3.499","4.029","4.785","5.408"
"8","0.706","1.397","1.860","2.306","2.896","3.355","3.833","4.501","5.041"
"9","0.703","1.383","1.833","2.262","2.821","3.250","3.690","4.297","4.781"
"10","0.700","1.372","1.812","2.228","2.764","3.169","3.581","4.144","4.587"
"11","0.697","1.363","1.796","2.201","2.718","3.106","3.497","4.025","4.437"
"12","0.695","1.356","1.782","2.179","2.681","3.055","3.428","3.930","4.318"
"13","0.694","1.350","1.771","2.160","2.650","3.012","3.372","3.852","4.221"
"14","0.692","1.345","1.761","2.145","2.624","2.977","3.326","3.787","4.140"
"15","0.691","1.341","1.753","2.131","2.602","2.947","3.286","3.733","4.073"
"16","0.690","1.337","1.746","2.120","2.583","2.921","3.252","3.686","4.015"
"17","0.689","1.333","1.740","2.110","2.567","2.898","3.222","3.646","3.965"
"18","0.688","1.330","1.734","2.101","2.552","2.878","3.197","3.610","3.922"
"19","0.688","1.328","1.729","2.093","2.539","2.861","3.174","3.579","3.883"
"20","0.687","1.325","1.725","2.086","2.528","2.845","3.153","3.552","3.850"
"21","0.686","1.323","1.721","2.080","2.518","2.831","3.135","3.527","3.819"
"22","0.686","1.321","1.717","2.074","2.508","2.819","3.119","3.505","3.792"
"23","0.685","1.319","1.714","2.069","2.500","2.807","3.104","3.485","3.768"
"24","0.685","1.318","1.711","2.064","2.492","2.797","3.091","3.467","3.745"
"25","0.684","1.316","1.708","2.060","2.485","2.787","3.078","3.450","3.725"
"26","0.684","1.315","1.706","2.056","2.479","2.779","3.067","3.435","3.707"
"27","0.684","1.314","1.703","2.052","2.473","2.771","3.057","3.421","3.690"
"28","0.683","1.313","1.701","2.048","2.467","2.763","3.047","3.408","3.674"
"29","0.683","1.311","1.699","2.045","2.462","2.756","3.038","3.396","3.659"
"30","0.683","1.310","1.697","2.042","2.457","2.750","3.030","3.385","3.646"
"31","0.682","1.309","1.696","2.040","2.453","2.744","3.022","3.375","3.633"
"32","0.682","1.309","1.694","2.037","2.449","2.738","3.015","3.365","3.622"
"33","0.682","1.308","1.692","2.035","2.445","2.733","3.008","3.356","3.611"
"34","0.682","1.307","1.691","2.032","2.441","2.728","3.002","3.348","3.601"
"35","0.682","1.306","1.690","2.030","2.438","2.724","2.996","3.340","3.591"
"36","0.681","1.306","1.688","2.028","2.434","2.719","2.990","3.333","3.582"
"37","0.681","1.305","1.687","2.026","2.431","2.715","2.985","3.326","3.574"
"38","0.681","1.304","1.686","2.024","2.429","2.712","2.980","3.319","3.566"
"39","0.681","1.304","1.685","2.023","2.426","2.708","2.976","3.313","3.558"
"40","0.681","1.303","1.684","2.021","2.423","2.704","2.971","3.307","3.551"
"41","0.681","1.303","1.683","2.020","2.421","2.701","2.967","3.301","3.544"
"42","0.680","1.302","1.682","2.018","2.418","2.698","2.963","3.296","3.538"
"43","0.680","1.302","1.681","2.017","2.416","2.695","2.959","3.291","3.532"
"44","0.680","1.301","1.680","2.015","2.414","2.692","2.956","3.286","3.526"
"45","0.680","1.301","1.679","2.014","2.412","2.690","2.952","3.281","3.520"
"46","0.680","1.300","1.679","2.013","2.410","2.687","2.949","3.277","3.515"
"47","0.680","1.300","1.678","2.012","2.408","2.685","2.946","3.273","3.510"
"48","0.680","1.299","1.677","2.011","2.407","2.682","2.943","3.269","3.505"
"49","0.680","1.299","1.677","2.010","2.405","2.680","2.940","3.265","3.500"
"50","0.679","1.299","1.676","2.009","2.403","2.678","2.937","3.261","3.496"
"52","0.679","1.298","1.675","2.007","2.400","2.674","2.932","3.255","3.488"
"54","0.679","1.297","1.674","2.005","2.397","2.670","2.927","3.248","3.480"
"56","0.679","1.297","1.673","2.003","2.395","2.667","2.923","3.242","3.473"
"58","0.679","1.296","1.672","2.002","2.392","2.663","2.918","3.237","3.466"
"60","0.679","1.296","1.671","2.000","2.390","2.660","2.915","3.232","3.460"
"62","0.678","1.295","1.670","1.999","2.388","2.657","2.911","3.227","3.454"
"64","0.678","1.295","1.669","1.998","2.386","2.655","2.908","3.223","3.449"
"66","0.678","1.295","1.668","1.997","2.384","2.652","2.904","3.218","3.444"
"68","0.678","1.294","1.668","1.995","2.382","2.650","2.902","3.214","3.439"
"70","0.678","1.294","1.667","1.994","2.381","2.648","2.899","3.211","3.435"
"72","0.678","1.293","1.666","1.993","2.379","2.646","2.896","3.207","3.431"
"74","0.678","1.293","1.666","1.993","2.378","2.644","2.894","3.204","3.427"
"76","0.678","1.293","1.665","1.992","2.376","2.642","2.891","3.201","3.423"
"78","0.678","1.292","1.665","1.991","2.375","2.640","2.889","3.198","3.420"
"80","0.678","1.292","1.664","1.990","2.374","2.639","2.887","3.195","3.416"
"82","0.677","1.292","1.664","1.989","2.373","2.637","2.885","3.193","3.413"
"84","0.677","1.292","1.663","1.989","2.372","2.636","2.883","3.190","3.410"
"86","0.677","1.291","1.663","1.988","2.370","2.634","2.881","3.188","3.407"
