start_min,end_min,S_start,S_end,S_endpoint_mean,N_taken_umol,V_mean
0,5,25.0,21.300683352056385,23.15034167602819,1.8496583239718074,4.932422197258154
5,10,21.300683352056385,17.720709269877567,19.510696310966978,1.7899870410894092,4.773298776238425
10,15,17.720709269877567,14.294874049650822,16.007791659764194,1.7129176101133723,4.567780293635659
15,20,14.294874049650822,11.072194359849162,12.683534204749993,1.6113398449008303,4.29690625306888
20,25,11.072194359849162,8.121688651525767,9.596941505687465,1.4752528541616972,3.9340076110978592
25,30,8.121688651525767,5.537060396460066,6.829374523992916,1.2923141275328507,3.4461710067542684
30,35,5.537060396460066,3.430642018704702,4.483851207582384,1.053209188877682,2.808557837007152
35,40,3.430642018704702,1.8959029761931858,2.663272497448944,0.7673695212557581,2.046318723348688
40,45,1.8959029761931858,0.9342791535210724,1.415091064857129,0.4808119113360567,1.282165096896151
45,50,0.9342791535210724,0.42092167407100045,0.6776004137960364,0.25667873972503596,0.6844766392667625
50,55,0.42092167407100045,0.17959635019566753,0.300259012133334,0.12066266193766646,0.3217670985004439
55,60,0.17959635019566753,0.07456844400091545,0.1270823970982915,0.05251395309737604,0.14003720825966942
