treatment,t_day,N_umol,P_umol,B_units
Control,0.0,5.0,1.0,1.0
Control,0.02,4.849257787484941,0.9849257787484941,1.015074221251506
Control,0.04,4.697064703585383,0.9697064703585383,1.0302935296414617
Control,0.06,4.543476859302767,0.9543476859302767,1.0456523140697234
Control,0.08,4.388558790339177,0.9388558790339178,1.0611441209660821
Control,0.1,4.232384449197117,0.9232384449197117,1.0767615550802883
Control,0.12,4.075038325254142,0.9075038325254142,1.0924961674745857
Control,0.14,3.9166167101500955,0.8916616710150096,1.1083383289849904
Control,0.16,3.757229127984,0.8757229127984001,1.1242770872016
Control,0.18,3.596999951586567,0.8596999951586568,1.1403000048413434
Control,0.2,3.4360702280860287,0.8436070228086029,1.1563929771913972
Control,0.22,3.274599738036224,0.8274599738036225,1.1725400261963776
Control,0.24,3.112769312875107,0.8112769312875108,1.1887230687124895
Control,0.26,2.9507834336593746,0.7950783433659375,1.2049216566340626
Control,0.28,2.7888731300601886,0.778887313006019,1.2211126869939812
Control,0.3,2.627299189381428,0.7627299189381429,1.2372700810618573
Control,0.32,2.4663556702927254,0.7466355670292727,1.2533644329707276
Control,0.34,2.306373689284137,0.7306373689284139,1.2693626310715864
Control,0.36,2.1477254079116017,0.7147725407911604,1.28522745920884
Control,0.38,1.9908280845384592,0.6990828084538461,1.3009171915461542
Control,0.4,1.8361479646511318,0.6836147964651134,1.3163852035348869
Control,0.42,1.6842036495923605,0.6684203649592363,1.331579635040764
Control,0.44,1.535568407857624,0.6535568407857626,1.3464431592142376
Control,0.46,1.3908706494206946,0.6390870649420697,1.3609129350579305
Control,0.48,1.2507915075056206,0.6250791507505623,1.3749208492494378
Control,0.5,1.1160581556568467,0.6116058155656849,1.3883941844343153
Control,0.52,0.9874312244086226,0.5987431224408625,1.4012568775591379
Control,0.54,0.8656845897382367,0.5865684589738239,1.4134315410261764
Control,0.56,0.7515760953645221,0.5751576095364525,1.4248423904635479
Control,0.58,0.6458086973007515,0.5645808697300754,1.4354191302699248
Control,0.6,0.5489833110757066,0.5548983311075709,1.4451016688924292
Control,0.62,0.4615472869249661,0.5461547286924968,1.4538452713075034
Control,0.64,0.38374545464055976,0.5383745454640562,1.461625454535944
Control,0.66,0.31558295244783224,0.5315582952447835,1.4684417047552167
Control,0.68,0.2568091349764496,0.5256809134976452,1.4743190865023548
Control,0.7000000000000001,0.2069287111407201,0.5206928711140723,1.4793071288859279
Control,0.72,0.1652402736884245,0.5165240273688427,1.4834759726311575
Control,0.74,0.1308956143193567,0.5130895614319361,1.4869104385680643
Control,0.76,0.10296850240843515,0.5102968502408438,1.4897031497591564
Control,0.78,0.08052073887992955,0.5080520738879932,1.491947926112007
