time_min,S_uMol_N_L,N_in_water_uMol,N_taken_up_uMol,instantaneous_V_uMol_N_gFM_h,next_interval_mean_S_uMol_N_L,next_interval_mean_V_uMol_N_gFM_h
0.0,25.0,12.5,0.0,5.0,23.15034168,4.9324222
5.0,21.30068335,10.65034168,1.84965832,4.85934523,19.51069631,4.77329878
10.0,17.72070927,8.86035463,3.63964537,4.67961868,16.00779166,4.56778029
15.0,14.29487405,7.14743702,5.35256298,4.44518291,12.6835342,4.29690625
20.0,11.07219436,5.53609718,6.96390282,4.13342227,9.59694151,3.93400761
25.0,8.12168865,4.06084433,8.43915567,3.7137089,6.82937452,3.44617101
30.0,5.5370604,2.7685302,9.7314698,3.15290614,4.48385121,2.80855784
35.0,3.43064202,1.71532101,10.78467899,2.44155215,2.6632725,2.04631872
40.0,1.89590298,0.94795149,11.55204851,1.64959076,1.41509106,1.2821651
45.0,0.93427915,0.46713958,12.03286042,0.94462609,0.67760041,0.68447664
50.0,0.42092167,0.21046084,12.28953916,0.46588573,0.30025901,0.3217671
55.0,0.17959635,0.08979818,12.41020182,0.20804287,0.1270824,0.14003721
60.0,0.07456844,0.03728422,12.46271578,0.08816723,,
