treatment,t_day,organic_C_mg_L,O2_mg_L,regenerated_N_uM,O2_used_mg_L,O2_added_mg_L
weak_renewal,0.0,6.0,8.0,0.0,0.0,0.0
weak_renewal,0.02,5.975210364819455,7.933947203321015,0.25822536646400907,0.06610569381478631,5.289713580084585e-05
weak_renewal,0.04,5.95053526936138,7.868305201489302,0.5152576108189632,0.13190594836965477,0.0002111498589565151
weak_renewal,0.06,5.925974254104167,7.803072113348347,0.7711015197482604,0.197401989055555,0.00047410240390172967
weak_renewal,0.08,5.901526861952423,7.738246067213798,1.0257618546622702,0.26259503479354135,0.0008411020073395339
weak_renewal,0.1,5.8771926382303645,7.673825200840751,1.2792433517670359,0.32748629805236124,0.0013114988931120113
weak_renewal,0.12,5.852971130675289,7.609807661391228,1.5315507221324018,0.3920769848658947,0.0018846462571232452
weak_renewal,0.14,5.828861889431083,7.5461916054018685,1.782688651759553,0.4563682948504454,0.002559900252314097
weak_renewal,0.16,5.804864467041794,7.482975198751806,2.032661801647978,0.5203614212218824,0.0033366199736885073
weak_renewal,0.18,5.780978418445259,7.420156616630749,2.281474807861884,0.5840575508126423,0.004214167443391132
weak_renewal,0.2,5.757203300966779,7.3577340435072465,2.5291322815960533,0.6474578640885894,0.005191907595835805
weak_renewal,0.22,5.733538674312849,7.2957056730971495,2.7756388092411517,0.7105635351657346,0.006269208262884653
weak_renewal,0.24,5.709984100564943,7.2340697083322585,3.020998952448511,0.7733757318268188,0.007445440159077459
weak_renewal,0.26,5.68653914417334,7.17282436132915,3.265217248194381,0.8358956155377616,0.00871997686691121
weak_renewal,0.28,5.663203371951007,7.1119678533581885,3.5082982088436756,0.898124341463981,0.01009219482216922
weak_renewal,0.3,5.6399763530675315,7.051498414812717,3.7502463222132123,0.9600630584865828,0.011561473299299735
weak_renewal,0.32,5.616857659043092,6.99141428517842,3.9910660516344665,1.021712909218424,0.013127194396843681
weak_renewal,0.34,5.593846863742479,6.931713713002856,4.23076183601584,1.0830750300200556,0.014788743022911367
weak_renewal,0.36,5.570943543369171,6.872394955865162,4.469338089904477,1.1441505510155465,0.016545506880707706
weak_renewal,0.38,5.548147276459429,6.813456280345915,4.70679920354762,1.2049405961081912,0.018396876454105832
weak_renewal,0.4,5.525457643876461,6.754895961997165,4.943149542953529,1.265446282996104,0.020342244993268806
weak_renewal,0.42,5.50287422880461,6.696712285312612,5.178393449951978,1.325668723187707,0.0223810085003191
weak_renewal,0.44,5.480396616743583,6.638903543697943,5.4125352422543465,1.385609022017113,0.02451256571505575
weak_renewal,0.46,5.458024395502722,6.58146803944131,5.645579213513315,1.4452682786594087,0.026736318100718796
weak_renewal,0.48,5.4357571551953106,6.52440408368396,5.877529633382188,1.5046475861458404,0.029051669829800814
weak_renewal,0.5,5.413594488232911,6.467709996390999,6.108390747573849,1.5637480313789056,0.03145802776990546
weak_renewal,0.52,5.391535989319738,6.411384106322287,6.338166777919391,1.6225706951473648,0.03395480146965251
weak_renewal,0.54,5.3695812554470645,6.355424751003466,6.5668619224264155,1.6811166521411631,0.03654140314462952
weak_renewal,0.56,5.347729885887647,6.299830276697112,6.794480355337017,1.7393869709662768,0.0392172476633896
weak_renewal,0.58,5.325981482190191,6.244599038374004,7.021026227185505,1.7973827141594898,0.04198175253349533
weak_renewal,0.6,5.304335648173837,6.1897293996845075,7.24650366485586,1.855104938203101,0.04483433788760864
weak_renewal,0.62,5.282791989922662,6.135219732930056,7.4709167716389375,1.912554693539569,0.04777442646962618
weak_renewal,0.64,5.261350115780211,6.0810684190347555,7.694269627289465,1.9697330245861036,0.05080144362086038
weak_renewal,0.66,5.240009636344047,6.0272738475170575,7.91656628808284,2.0266409697492076,0.05391481726626587
weak_renewal,0.68,5.21877016446031,5.973834416461538,8.137810786871768,2.083279561439173,0.057113977900711085
weak_renewal,0.7000000000000001,5.197631315218296,5.920748532490752,8.358007133142745,2.1396498260845433,0.06039835857529505
weak_renewal,0.72,5.176592705945045,5.868014610737162,8.577159313072448,2.1957527841465465,0.06376739488370897
weak_renewal,0.74,5.155653956199937,5.81563107481514,8.795271289583994,2.251589450133502,0.06722052494864293
weak_renewal,0.76,5.134814687769294,5.7635963567930215,9.012347002403184,2.3071608326152147,0.07075718940823705
weak_renewal,0.78,5.11407452466099,5.711908897165216,9.22839036811469,2.3624679342373605,0.07437683140257757
weak_renewal,0.8,5.093433093099048,5.6605671448243635,9.443405280218252,2.417511751735873,0.07807889656023743
weak_renewal,0.8200000000000001,5.072890021518248,5.609569557033521,9.65739560918492,2.4722932759513396,0.08186283298486126
weak_renewal,0.84,5.052444940558719,5.55891459939838,9.870365202513334,2.5268134918434138,0.08572809124179494
weak_renewal,0.86,5.03209748306053,5.508600745839506,10.082317884786146,2.5810733785052533,0.08967412434475977
weak_renewal,0.88,5.011847284058252,5.458626478564576,10.293257457726538,2.635073909177994,0.09370038774257061
weak_renewal,0.9,4.991693980775524,5.408990288040629,10.50318770025496,2.68881605126527,0.09780633930589894
weak_renewal,0.92,4.971637212619579,5.35969067296629,10.71211236854605,2.742300766347789,0.10199143931407999
weak_renewal,0.9400000000000001,4.95167662117576,5.310726140243991,10.92003519608583,2.795529010197973,0.10625515044196439
weak_renewal,0.96,4.931811850201997,5.262095204952141,11.12695989372919,2.848501732794673,0.11059693774681446
weak_renewal,0.98,4.912042545623258,5.213796390317266,11.332890149757727,2.901219878337978,0.11501626865524484
weak_renewal,1.0,4.892368355525956,5.165828227686092,11.537829629937953,2.953684385264116,0.11951261295020779
weak_renewal,1.02,4.872788930152323,5.118189256497553,11.741781977579963,3.0058961862604705,0.12408544275802337
weak_renewal,1.04,4.85330392189473,5.070878024254734,11.944750813596563,3.0578562082807204,0.12873423253545413
weak_renewal,1.06,4.833912985289957,5.02389308649671,12.146739736562948,3.1095653725601147,0.13345845905682535
weak_renewal,1.08,4.814615777013412,4.9772330067702875,12.347752322776957,3.1610245946309012,0.13825760140118964
weak_renewal,1.1,4.795411955873281,4.93089635660162,12.547792126319989,3.2122347843379173,0.14313114093953763
weak_renewal,1.12,4.776301182804615,4.884881715467696,12.746862679118586,3.263196845854358,0.1480785613220535
weak_renewal,1.1400000000000001,4.757283120863347,4.839187670767678,12.944967491006793,3.313911677697739,0.15309934846541662
weak_renewal,1.16,4.738357435220223,4.7938128177940795,13.142110049789334,3.36438017274607,0.15819299054014924
weak_renewal,1.18,4.7195237931546545,4.748755759703759,13.33829382130567,3.4146032182542525,0.16335897795801035
weak_renewal,1.2,4.700781864048481,4.704015107488721,13.533522249494979,3.464581695870715,0.16859680335943583
weak_renewal,1.22,4.682131319379631,4.659589479946711,13.727798756462168,3.514316481654315,0.17390596160102578
weak_renewal,1.24,4.663571832715683,4.6154775036515705,13.921126742544956,3.5638084460915094,0.17928594974307907
weak_renewal,1.26,4.645103079707315,4.571677812923351,14.113509586382127,3.6130584541138253,0.18473626703717555
weak_renewal,1.28,4.626724738081634,4.528189049798166,14.304950644982974,3.6620673651156417,0.19025641491380604
