t,lat,zonal_sst
2010-01-01,12.625,24.21
2010-01-01,12.875,23.99
2010-01-01,13.125,23.79
2010-01-01,13.375,23.65
2010-01-01,13.625,23.43
2010-01-01,13.875,23.52
2010-01-01,14.125,23.52
2010-01-01,14.375,23.59
2010-01-01,14.625,23.36
2010-01-01,14.875,23.16
2010-01-01,15.125,23.08
2010-01-01,15.375,22.89
2010-01-01,15.625,22.67
2010-01-01,15.875,22.63
2010-01-01,16.125,22.52
2010-01-01,16.375,22.37
2010-01-01,16.625,22.18
2010-01-01,16.875,21.76
2010-01-01,17.125,21.64
2010-01-01,17.375,21.43
2010-01-01,17.625,21.49
2010-01-01,17.875,21.55
2010-01-01,18.125,21.62
2010-01-01,18.375,21.69
2010-01-01,18.625,21.69
2010-01-01,18.875,21.58
2010-01-01,19.125,21.53
2010-01-01,19.375,21.44
2010-01-01,19.625,21.27
2010-01-01,19.875,21.1
2010-01-01,20.125,20.84
2010-01-01,20.375,20.55
2010-01-01,20.625,20.33
2010-01-01,20.875,20.44
2010-01-01,21.125,20.77
2010-01-01,21.375,20.9
2010-01-01,21.625,20.96
2010-01-01,21.875,20.87
2010-01-01,22.125,20.95
2010-01-01,22.375,20.95
2010-01-01,22.625,20.95
2010-01-01,22.875,21.05
2010-01-01,23.125,21.06
2010-01-01,23.375,21.15
2010-01-01,23.625,21.25
2010-01-01,23.875,21.27
2010-01-01,24.125,21.3
2010-01-01,24.375,21.31
2010-01-01,24.625,21.44
2010-02-01,12.625,22.93
2010-02-01,12.875,22.72
2010-02-01,13.125,22.61
2010-02-01,13.375,22.61
2010-02-01,13.625,22.48
2010-02-01,13.875,22.77
2010-02-01,14.125,22.83
2010-02-01,14.375,23.13
2010-02-01,14.625,23.11
2010-02-01,14.875,23.07
2010-02-01,15.125,23.05
2010-02-01,15.375,22.98
2010-02-01,15.625,22.87
2010-02-01,15.875,22.85
2010-02-01,16.125,22.66
2010-02-01,16.375,22.42
2010-02-01,16.625,22.23
2010-02-01,16.875,21.89
2010-02-01,17.125,21.83
2010-02-01,17.375,21.66
2010-02-01,17.625,21.68
2010-02-01,17.875,21.69
2010-02-01,18.125,21.65
2010-02-01,18.375,21.6
2010-02-01,18.625,21.58
2010-02-01,18.875,21.59
2010-02-01,19.125,21.71
2010-02-01,19.375,21.72
2010-02-01,19.625,21.61
2010-02-01,19.875,21.5
2010-02-01,20.125,21.3
2010-02-01,20.375,21.13
2010-02-01,20.625,20.95
2010-02-01,20.875,20.92
2010-02-01,21.125,21.03
2010-02-01,21.375,21.05
2010-02-01,21.625,21.06
2010-02-01,21.875,21.02
2010-02-01,22.125,21.09
2010-02-01,22.375,21.13
2010-02-01,22.625,21.19
2010-02-01,22.875,21.27
2010-02-01,23.125,21.27
2010-02-01,23.375,21.32
2010-02-01,23.625,21.36
2010-02-01,23.875,21.31
2010-02-01,24.125,21.25
2010-02-01,24.375,21.15
2010-02-01,24.625,21.15
2010-03-01,12.625,22.57
2010-03-01,12.875,22.31
2010-03-01,13.125,22.18
2010-03-01,13.375,22.13
2010-03-01,13.625,22.08
2010-03-01,13.875,22.2
2010-03-01,14.125,22.3
2010-03-01,14.375,22.54
2010-03-01,14.625,22.57
