Location_m,Hermit.Crabs,Chitons,Snails,Limpets,Side
0,0,0,0,0,Left
0,0,0,3,9,Right
0,0,0,0,0,Right
0,0,0,0,0,Left
0,0,0,625,0,Right
0,0,1,0,1,Left
0,0,4,0,27,Left
0,0,0,134,11,Right
0,0,1,3,31,Left
0,0,0,0,16,Left
0,0,0,1,5,Right
0,0,0,0,11,Right
5,0,1,2,1,Left
5,0,0,3,2,Right
5,0,0,0,0,Right
5,0,0,0,0,Left
5,0,0,7,13,Right
5,9,6,1,7,Left
5,0,6,0,22,Left
5,10,6,0,18,Right
5,9,0,4,2,Left
5,0,0,0,6,Left
5,1,0,1,3,Right
5,14,0,0,1,Right
10,0,0,0,0,Left
10,0,0,0,0,Right
10,1,0,0,0,Right
10,0,0,1,0,Left
10,4,0,3,0,Right
10,2,0,0,0,Left
10,2,0,3,6,Left
10,33,0,6,1,Right
10,13,0,0,0,Left
10,0,0,1,9,Left
10,0,0,0,3,Right
10,6,0,0,0,Right
15,0,0,0,0,Left
15,0,0,0,0,Right
15,3,0,3,0,Right
15,2,0,0,0,Left
15,5,0,0,0,Right
15,1,0,0,0,Left
15,0,1,2,4,Left
15,7,0,1,1,Right
15,20,0,0,4,Left
15,10,0,2,0,Left
15,3,0,1,1,Right
15,0,0,0,2,Right
20,0,0,2,30,Left
20,0,0,2,18,Right
20,0,0,0,0,Right
20,0,0,6,1,Left
20,0,0,0,0,Right
20,4,0,7,0,Left
20,2,0,0,3,Left
20,0,0,0,0,Right
20,0,0,0,2,Left
20,0,0,2,3,Left
20,0,0,0,0,Right
20,0,0,0,0,Right
25,0,0,0,0,Left
25,0,0,0,0,Right
25,5,0,3,0,Right
25,1,1,0,0,Left
25,1,5,5,22,Right
25,4,3,2,35,Left
25,0,0,0,0,Left
25,10,0,0,1,Right
25,0,0,0,0,Left
25,0,0,0,0,Left
25,0,0,0,0,Right
25,2,0,0,3,Right
30,0,0,0,0,Left
30,0,2,2,18,Right
30,1,0,0,0,Right
30,0,0,0,1,Left
30,0,0,0,0,Right
30,0,0,0,0,Left
30,1,1,0,0,Left
30,1,1,0,2,Right
30,0,0,1,0,Left
30,0,0,0,0,Left
30,0,0,0,0,Right
30,0,1,0,0,Right
35,0,1,0,11,Left
35,0,1,2,21,Right
35,0,0,0,0,Right
35,2,0,1,0,Left
35,0,0,0,9,Right
35,0,1,1,30,Left
35,0,0,0,1,Left
35,1,5,0,11,Right
35,NA,NA,NA,NA,Left
35,0,0,1,0,Left
35,0,0,0,1,Right
35,NA,NA,NA,NA,Right
40,0,0,1,1,Left
40,0,0,0,2,Right
40,0,0,0,0,Right
40,0,0,5,15,Left
40,0,0,0,0,Right
40,0,0,0,0,Left
40,0,0,0,0,Left
40,0,0,0,0,Right
40,NA,NA,NA,NA,Left
40,0,1,0,36,Left
40,2,0,1,16,Right
40,NA,NA,NA,NA,Right
45,0,0,0,0,Left
45,0,0,0,0,Right
45,0,0,0,0,Right
45,0,0,0,23,Left
45,0,0,0,0,Right
45,0,0,0,0,Left
45,0,0,0,0,Left
45,0,0,1,0,Right
45,NA,NA,NA,NA,Left
45,NA,NA,3,NA,Left
45,NA,NA,NA,NA,Right
45,NA,NA,NA,NA,Right
