flask	trt	V	S
a1	low	10.8	60.2
a2	low	10.0	61.1
a3	low	14.1	60.8
a1	low	7.3	59.4
a2	low	15.4	59.4
a3	low	9.5	59.4
a1	low	12.5	56.7
a2	low	10.5	56.2
a3	low	10.7	57.0
a1	low	8.0	52.7
a2	low	7.1	53.0
a3	low	9.1	53.3
a1	low	8.6	49.6
a2	low	9.1	50.0
a3	low	5.5	50.8
a1	low	12.2	45.0
a2	low	8.2	46.5
a3	low	9.7	48.0
a1	low	9.7	36.9
a2	low	11.6	38.4
a3	low	8.9	41.2
a1	low	13.7	27.7
a2	low	11.3	29.0
a3	low	13.1	33.1
a1	low	8.1	21.6
a2	low	10.6	22.9
a3	low	9.4	27.1
a1	low	5.3	16.0
a2	low	4.2	17.4
a3	low	7.2	20.3
a1	low	7.9	10.2
a2	low	9.9	11.6
a3	low	3.7	14.9
a1	low	2.5	6.8
a2	low	1.9	7.9
a3	low	2.9	13.1
a1	low	3.0	5.0
a2	low	4.1	5.9
a3	low	6.6	10.1
a1	low	1.0	3.0
a2	low	0.0	4.6
a3	low	2.3	5.8
a1	low	0.7	1.9
a2	low	3.7	3.3
a3	low	1.5	3.2
a1	low	0.1	0.8
a2	low	0.1	0.9
a3	low	0.2	1.3
b1	med	8.9	60.4
b2	med	15.5	60.8
b3	med	8.1	61.1
b1	med	13.2	59.1
b2	med	6.2	59.5
b3	med	13.5	59.9
b1	med	10.9	56.1
b2	med	9.9	57.6
b3	med	12.0	56.6
b1	med	7.4	52.6
b2	med	9.3	53.9
b3	med	7.1	53.0
b1	med	9.0	49.5
b2	med	5.4	51.3
b3	med	9.5	49.9
b1	med	9.9	45.5
b2	med	9.4	48.5
b3	med	8.6	46.1
b1	med	10.8	37.3
b2	med	11.6	39.9
b3	med	11.3	38.0
b1	med	14.6	27.2
b2	med	13.8	29.5
b3	med	13.1	28.1
b1	med	12.9	19.2
b2	med	12.9	21.9
b3	med	13.4	20.3
b1	med	8.5	9.8
b2	med	9.5	11.8
b3	med	8.0	10.9
b1	med	3.7	3.1
b2	med	4.5	4.1
b3	med	5.2	3.9
b1	med	0.6	1.4
b2	med	1.3	1.7
b3	med	0.6	1.7
b1	med	0.4	0.7
b2	med	0.3	0.5
b3	med	0.6	0.8
b1	med	0.0	0.1
b2	med	0.0	0.1
b3	med	0.0	0.1
c1	high	12.1	61.1
c2	high	15.3	61.2
c3	high	18.4	61.4
c1	high	10.5	59.8
c2	high	8.6	59.8
c3	high	8.6	59.5
c1	high	14.5	56.2
c2	high	14.8	56.4
c3	high	14.4	56.3
c1	high	9.9	51.2
c2	high	10.6	51.3
c3	high	11.1	51.2
c1	high	11.7	46.6
c2	high	12.0	46.6
c3	high	11.5	46.5
c1	high	15.9	40.0
c2	high	14.8	40.4
c3	high	13.9	40.7
c1	high	16.2	26.7
c2	high	16.6	27.5
c3	high	16.6	28.1
c1	high	19.3	11.7
c2	high	17.1	13.2
c3	high	14.2	14.7
c1	high	6.0	4.0
c2	high	9.5	5.4
c3	high	13.4	6.5
c1	high	0.4	1.9
c2	high	0.5	2.2
c3	high	0.5	2.2
c1	high	0.6	1.5
c2	high	1.0	1.6
c3	high	0.6	1.7
c1	high	0.0	1.3
c2	high	0.4	1.1
c3	high	0.6	1.2
c1	high	0.6	0.8
c2	high	0.3	0.5
c3	high	0.3	0.5
c1	high	0.0	0.1
c2	high	0.0	0.1
c3	high	0.0	0.1
