x,y
55.9930301513,79.2772636977
50.0322537946,79.013071199
51.2884586593,82.4359398425
51.1705368873,79.1652941091
44.3779145287,78.1646280036
45.0102700721,77.8808631153
48.559816719,78.7883706035
42.1422682922,76.8806345544
41.0269715735,76.4095884613
34.5753090115,72.7248411845
31.1686007236,69.2454213193
32.6442540714,70.7325550334
26.6666456539,62.9809712052
26.4592623274,62.6346733709
25.5380076465,60.6302361093
26.3207111933,62.3962811186
26.1633874648,62.0268148985
25.2137904611,60.2733986018
26.8595295604,63.1418346727
31.7606691716,69.7976553936
39.7932905744,75.8079642168
45.6174391854,78.1199702277
53.7714606827,79.3029316435
56.4514336733,79.2471070208
66.0937201989,77.0178182606
56.9258394194,79.2063186226
58.9882538467,78.9172589554
57.9022660533,79.0808678187
64.8128669568,77.4869389235
60.3497935166,78.7294458673
48.890555756,16.8065435154
47.549506348,17.0714045245
30.8894308257,26.3290372348
28.972835724,29.0504689185
35.1613607523,22.7868496473
45.8703691685,17.4893933655
32.8314206076,24.7975381459
39.4855747899,20.0330500489
33.4461829314,24.1906434075
21.8635812756,46.0525933457
25.1658708449,35.7666139539
22.9594789762,51.2877067934
25.5860552415,60.8465833585
26.3143100672,33.2971681038
33.037301251,24.5644624921
36.4688894772,21.8761144725
26.5135531009,32.9187498178
36.0270912125,22.1954385395
42.6810404129,18.5425361977
45.0410771273,17.7345177303
47.3524164557,17.1347454264
53.8461940322,16.3873180961
55.1296393835,16.3532468711
52.188119961699996,16.4182174652
58.6726630845,16.6633724322
82.1443116037,33.1952218669
75.6865711383,24.7415103908
85.344964503,52.886419866
83.8446535127,58.6160602305
85.66476066,45.5427527692
77.931004934,68.6900618808
73.0318330209,73.12057473
70.1028044999,75.6832068542
57.1446946889,79.1941025922
46.9624619942,78.6665589963
50.5649338128,79.0772985529
53.7196765696,79.306936167
54.2002323226,79.3250023354
47.875198343,78.6758534295
51.4734585149,79.1598669963
52.7512222162,79.2936599344
48.5622230047,78.7823835275
53.0812416908,79.2972507654
56.475383374,79.1678400979
49.570911405,79.0381238831
37.6277032991,74.5575043418
32.2637000863,70.3166389012
32.542380336,70.7024172063
52.8250171923,85.5781338795
58.5282895407,78.9787042541
56.265834263,79.2529394854
57.0758924193,79.1939225382
54.2564023808,79.3138648504
62.6856712475,78.1747432719
68.0856058616,76.1123175001
65.1181219632,77.3991884543
68.7456312971,75.7900554548
63.0902251412,78.041409495
77.2045893204,69.3121497658
82.0339084758,62.6818697859
81.5779459183,63.8949255005
85.1801432805,53.7816766607
84.2868249936,57.2561680896
85.6224867126,45.0241658646
85.6044990156,50.7623379055
84.4247858276,38.761410164
85.570985078,44.5600964397
84.6267242006,39.4870775084
73.3961549252,22.8162479426
73.5074477338,22.8569887644
63.3564881135,17.7240688424
72.9590468722,22.5114998325
64.0208416469,17.8835812521
61.124463241,17.1163533592
75.6742073297,24.7825009657
69.5135831574,20.2793578927
58.5721354669,16.642703808
70.9819409865,21.1458881039
65.2230303973,18.3971951223
65.3150439093,18.3337482986
64.0102406778,17.9244781912
57.1409359294,16.5986105437
56.3651532552,16.3265463742
43.046183241,18.4025593948
52.0817555582,16.4538745312
42.8790365154,18.4894110252
51.5669948027,16.4857136372
58.8391251216,16.6376352154
60.7557891374,17.0332315064
54.7611561181,16.3661890954
53.5699050003,16.3397125506
48.9146182416,16.7986370826
52.6461373069,16.3848363836
49.8384929905,16.6763302777
52.6840664009,16.4079627826
65.8072190346,18.1407649473
60.6739209233,17.0518023644
63.394712866,17.7005351354
64.8020094467,18.2168786335
65.0259398087,18.2878245002
65.7555515404,18.5162158303
69.9677341245,20.5389887758
68.8927840241,20.0324488429
61.8265465579,17.2696554452
60.7879700808,17.0462048583
61.9156096372,17.2821912228
45.0289975331,17.7244473049
39.9213628084,19.7018495281
84.7942778751,55.5686503735
55.6629587449,83.3564796243
50.4922475132,78.997532065
51.4671011416,79.2018445773
