ID_No,Re_hi,An_de,An_mi,Hi_pl,An_lu,Me_ae,Ra_ra,Mi_po,Ar_at,No_rk,Lu_la,Ma_vi,Bo_sa,Cy_lu,Cl_ha,Se_me,Le_de,Ga_mo,Le_ma,Se_ma,Tr_es,Ly_pa,Ly_eu,Ly_re,Ly_se,Ly_es,Ly_va,Be_gl,Ca_re,Tr_spp
356,0,0,0,31,0,108,0,325,0,0,0,2,0,1,4,7,0,44,0,10,309,0,0,0,0,0,4,0,0,0
357,0,0,0,4,0,110,0,349,0,1,0,0,0,0,0,93,0,138,0,2,1041,0,0,0,0,0,2,0,0,0
358,0,0,0,27,0,788,0,6,0,0,0,0,0,0,0,37,0,675,0,2,218,0,0,0,0,0,10,0,0,0
359,0,0,1,13,0,295,0,2,0,0,0,3,0,0,0,0,0,357,0,15,77,0,0,0,0,0,4,0,0,0
363,0,0,0,23,0,13,2,240,0,0,0,16,0,1,3,958,0,76,0,2,13,0,0,0,0,0,0,0,0,0
364,1,0,0,20,0,97,0,0,0,0,0,0,0,0,15,101,0,368,0,2,196,0,0,0,0,0,1,0,0,0
365,0,0,0,21,0,220,0,3,0,1,0,3,0,0,0,36,0,825,0,15,229,0,0,0,0,0,1,0,1,0
366,0,0,0,35,0,373,0,5,0,0,0,0,0,0,0,39,0,547,0,20,218,0,0,0,0,0,1,0,0,0
367,0,2,1,74,0,118,0,0,0,0,0,0,0,0,0,7,0,98,0,0,83,0,0,0,0,0,0,0,0,0
368,0,3,0,39,0,336,1,0,0,0,0,0,0,3,0,1,0,188,0,1,0,0,0,0,0,0,0,0,0,0
369,3,1,0,29,0,36,9,0,0,0,0,25,0,1,2,0,0,72,0,0,0,0,0,0,0,0,3,0,0,0
370,1,4,4,70,1,9,4,0,0,0,0,24,0,1,6,36,0,202,0,0,0,0,0,0,0,0,0,0,0,0
371,1,0,4,57,0,40,2,0,0,0,0,22,0,0,0,92,0,92,0,0,28,0,0,0,0,0,3,0,0,0
372,5,0,1,50,0,23,6,0,0,0,0,95,0,0,2,53,0,125,0,0,9,0,0,0,0,0,1,0,0,0
373,7,6,1,98,0,2,5,0,0,0,0,69,0,0,0,72,0,143,0,0,0,0,0,0,0,0,6,0,1,0
375,1,1,1,92,0,0,9,0,5,0,1,27,0,0,0,7,0,351,0,0,0,0,0,0,0,0,3,0,1,0
376,2,2,0,288,0,0,4,0,3,0,0,1,0,0,0,3,0,186,0,0,0,0,0,0,0,0,1,0,0,0
377,0,0,0,61,0,0,3,0,0,0,0,8,0,0,0,0,6,494,4,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,51,0,2,0,0,10,0,0,1,0,0,0,1,4,1346,5,0,0,0,0,0,0,0,2,0,0,4
379,0,0,3,61,1,0,0,0,20,0,1,2,0,0,0,0,1,272,0,8,0,0,0,0,0,0,1,0,0,9
380,1,0,2,152,0,4,6,0,10,0,0,24,0,0,0,38,2,742,0,0,0,0,0,0,0,0,16,0,0,0
381,1,5,0,100,0,127,5,2,0,0,0,21,0,0,4,106,0,278,1,0,5,0,0,0,0,0,5,0,0,5
382,0,0,0,48,0,243,4,0,0,0,0,76,0,0,0,40,0,478,0,0,10,0,0,0,0,0,7,0,0,0
383,0,0,0,16,0,122,0,0,0,0,0,76,0,0,7,13,0,66,0,2,108,0,0,0,0,0,17,0,0,0
384,0,0,0,13,0,231,0,7,0,0,0,230,0,2,57,179,0,9,0,0,12,0,0,0,0,0,1,0,0,0
385,0,2,0,46,0,119,0,4,2,0,0,41,0,0,25,30,0,166,0,0,91,0,0,0,0,0,7,0,0,0
386,0,0,0,34,0,1179,0,1,0,0,0,8,0,0,2,0,0,213,0,0,23,0,0,0,0,0,2,0,0,0
387,1,0,2,47,0,112,4,8,0,0,0,3,0,0,0,30,0,210,0,0,10,0,0,0,0,0,10,0,1,0
388,2,0,2,133,0,86,2,0,1,0,0,59,0,0,0,48,0,1403,0,0,0,0,0,0,0,0,0,0,1,0
389,0,9,2,68,0,28,2,2,16,0,0,39,0,0,0,21,0,671,0,7,0,0,0,0,0,0,7,0,0,0
390,1,2,0,219,0,3,3,0,6,0,0,14,0,0,0,0,1,611,0,0,0,0,0,0,0,0,1,0,0,0
391,3,2,1,161,0,3,13,1,6,1,0,2,0,0,0,21,1,97,0,0,1,0,0,0,0,0,7,0,1,0
392,0,0,0,554,0,2,11,0,16,0,2,12,0,0,0,0,0,265,13,6,0,0,0,0,0,0,0,0,0,2
393,5,6,0,450,0,0,9,0,11,1,0,46,0,0,0,0,0,31,1,0,0,0,0,0,0,0,1,0,0,0
394,0,0,0,59,0,13,5,0,8,0,2,9,0,0,0,0,2,303,0,0,0,0,0,1,0,0,1,0,3,0
395,9,22,0,132,0,57,24,1,1,0,0,9,0,0,0,106,0,522,0,0,1,0,0,0,0,0,27,0,0,0
396,3,1,0,77,0,148,10,1,0,1,0,12,0,0,0,196,0,162,0,0,1,0,0,0,0,0,19,2,4,0
397,1,2,1,179,0,173,3,1,0,0,0,11,0,0,0,335,0,144,0,0,4,0,0,0,0,0,6,0,1,0
398,0,0,1,49,0,189,0,0,2,0,1,3,0,0,0,94,0,187,0,0,5,0,0,0,0,0,11,0,2,0
399,0,0,0,33,0,74,1,0,10,0,0,26,0,0,0,17,0,101,0,4,1,0,0,0,0,0,4,0,0,0
