Bdens,Conduct,Clay,ECEC,Eff_CaCO3,ESP,Ex_Acid,Ex_Al,Ex_Ca,Ex_K,Ex_Mg,Ex_Na,KCl_Al,KCl_H,Org_C,pH_CaCl2,pH_H2O,Sand,Silt,Tot_C,Tot_N,Tot_P,Water_rep,Bio1,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Prec1,Prec10,Prec11,Prec12,Prec2,Prec3,Prec4,Prec5,Prec6,Prec7,Prec8,Prec9,Tmax1,Tmax10,Tmax11,Tmax12,Tmax2,Tmax3,Tmax4,Tmax5,Tmax6,Tmax7,Tmax8,Tmax9,Tmean1,Tmean10,Tmean11,Tmean12,Tmean2,Tmean3,Tmean4,Tmean5,Tmean6,Tmean7,Tmean8,Tmean9,Tmin1,Tmin10,Tmin11,Tmin12,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Aspect,Elevation,Slope,An_Hill,CS_Curve,BaseChan,ConInd,LS_Fact,Ln_Curve,Top_Wetnes,ValDepth,CLASS,Latitude,Longitude
1.49000,0.01300,0.70000,0.92000,0,2.17000,0.05000,0.06400,0.69000,0.02000,0.14000,0.02000,0.03000,0.02000,0.44000,5.00000,6.00000,98.30000,1.00000,0.44000,0.03000,24.50000,1,201,263,146,520,117,5,83,292,29,30,292,134,51,4614,351,89,262,146,260,5,27,16,10,14,11,31,72,117,97,78,42,351,253,283,320,350,325,280,235,204,192,200,223,269,183,209,240,271,251,214,178,153,141,144,159,187,113,135,160,193,178,148,121,102,90,89,96,24.680,94,0,0.803130,0.000000,93.935,-10.0650,0.035830,0.000030,10.2892,137.002,1,-29.8697387,115.2658783
1.49100,0.01000,0.50000,0.97000,0,2.06000,0.03000,0.12900,0.75000,0.02000,0.15000,0.02000,0.02000,0.01000,0.48000,5.10000,6.00000,99.30000,0.20000,0.48000,0.03000,32.40000,1,201,264,146,520,117,5,83,292,29,30,292,134,51,4618,351,89,262,146,259,5,27,16,10,14,11,31,72,117,97,78,42,351,254,283,320,351,326,281,235,204,193,200,223,268,183,209,239,272,253,215,178,153,142,144,159,186,113,135,159,194,180,149,121,102,91,89,96,294.310,99,0,0.768990,0.000000,96.573,-4.7235,0.239950,0.000000,13.6087,135.927,2,-29.8590734,115.2665286
1.51500,0.01400,1.50000,0.94000,0,3.19000,0.04000,0.08000,0.70000,0.03000,0.14000,0.03000,0.03000,0.02000,0.51000,5.10000,6.10000,98.30000,0.20000,0.51000,0.03000,39.60000,1,202,265,146,517,117,5,82,290,29,30,290,134,50,4694,353,89,264,146,261,5,27,16,10,14,11,31,71,117,96,77,42,353,254,284,322,353,327,281,235,204,192,200,223,270,183,209,241,274,253,214,177,153,141,144,159,188,113,135,160,195,180,148,120,102,90,89,96,180.000,95,0,0.785360,0.000000,95.759,-4.1500,0.000010,0.000030,10.3961,136.356,2,-29.8480136,115.2673718
1.49500,0.01300,0.80000,0.64000,0,3.45000,0.04000,0.09800,0.46000,0.02000,0.10000,0.02000,0.03000,0.01000,0.37000,5.40000,6.10000,98.40000,0.80000,0.37000,0.02000,28.90000,0,202,266,147,517,117,5,82,290,29,30,290,135,50,4669,354,89,265,147,261,5,27,16,10,14,11,31,71,117,96,77,42,354,255,285,323,353,328,282,235,205,193,201,223,271,184,210,241,273,254,215,178,154,142,145,159,188,113,135,160,194,180,149,121,103,91,89,96,5.790,91,0,0.750310,0.000100,95.913,37.6700,0.065130,0.000000,7.9478,135.373,10,-29.8408284,115.2692035
1.48800,0.00000,1.50000,0.51000,0,3.92000,0.03000,0.05900,0.36000,0.02000,0.08000,0.02000,0.02000,0.00000,0.28000,5.30000,6.10000,98.00000,0.50000,0.28000,0.02000,24.20000,0,202,266,147,517,117,5,82,290,29,30,290,135,50,4669,354,89,265,147,261,5,27,16,10,14,11,31,71,117,96,77,42,354,255,285,323,353,328,282,235,205,193,201,223,271,184,210,241,273,254,215,178,154,142,145,159,188,113,135,160,194,180,149,121,103,91,89,96,37.840,88,0,0.767700,0.000110,95.877,30.9709,0.040650,0.000000,10.8116,138.132,10,-29.8395931,115.2685728
1.47600,0.01100,1.20000,0.46000,0,6.52000,0.02000,0.11600,0.31000,0.02000,0.08000,0.03000,0.00000,0.01000,0.31000,5.10000,6.00000,98.50000,0.20000,0.31000,0.03000,28.40000,0,202,266,147,517,117,5,82,290,29,30,290,135,50,4669,354,89,265,147,261,5,27,16,10,14,11,31,71,117,96,77,42,354,255,285,323,353,328,282,235,205,193,201,223,271,184,210,241,273,254,215,178,154,142,145,159,188,113,135,160,194,180,149,121,103,91,89,96,269.840,89,0,0.785320,0.000030,95.306,2.2481,0.000020,0.000070,10.0495,135.458,14,-29.8392960,115.2672532
1.47500,0.00000,0.50000,0.90000,0,2.22000,0.04000,0.10000,0.70000,0.02000,0.12000,0.02000,0.04000,0.00000,0.43000,5.00000,6.00000,98.30000,1.20000,0.43000,0.03000,24.20000,1,202,267,145,516,116,5,82,289,29,30,289,135,50,4748,355,89,266,145,262,5,27,16,10,14,11,31,71,116,96,77,42,355,255,285,324,355,329,282,235,204,192,200,224,271,184,210,242,275,255,215,177,153,140,144,160,188,113,135,160,195,181,149,120,102,89,89,96,135.000,108,0,0.819930,-0.000100,105.035,-22.9310,0.093390,0.000000,12.6154,126.970,2,-29.8176521,115.2811917
1.39200,0.01100,0.50000,1.07000,0,2.80000,0.06000,0.08600,0.78000,0.02000,0.18000,0.03000,0.04000,0.02000,0.53000,4.60000,5.80000,99.00000,0.50000,0.53000,0.03000,16.10000,2,202,267,145,516,116,5,82,289,29,30,289,135,50,4748,355,89,266,145,262,5,27,16,10,14,11,31,71,116,96,77,42,355,255,285,324,355,329,282,235,204,192,200,224,271,184,210,242,275,255,215,177,153,140,144,160,188,113,135,160,195,181,149,120,102,89,89,96,274.400,111,0,0.769460,0.000000,104.785,-1.2611,0.095210,0.000000,9.0932,128.170,4,-29.8212146,115.2831589
1.48900,0.01300,0.20000,1.52000,0,1.32000,0.04000,0.07100,1.23000,0.02000,0.21000,0.02000,0.03000,0.02000,0.68000,5.00000,6.10000,99.30000,0.50000,0.68000,0.03000,15.00000,3,202,267,145,516,116,5,82,289,29,30,289,135,50,4748,355,89,266,145,262,5,27,16,10,14,11,31,71,116,96,77,42,355,255,285,324,355,329,282,235,204,192,200,224,271,184,210,242,275,255,215,177,153,140,144,160,188,113,135,160,195,181,149,120,102,89,89,96,180.000,106,0,0.839610,0.000000,102.423,-26.5790,0.247160,0.000010,13.7045,132.291,7,-29.8246801,115.2825201
1.53900,0.01400,0.20000,0.91000,0,2.20000,0.04000,0.11200,0.67000,0.02000,0.16000,0.02000,0.03000,0.01000,0.41000,5.10000,5.90000,99.00000,0.70000,0.41000,0.03000,35.90000,1,202,266,145,515,115,6,83,286,30,32,286,135,50,4737,355,89,266,145,262,6,27,16,10,14,12,31,71,115,95,76,42,355,255,286,324,354,329,282,235,204,192,200,224,271,184,211,242,274,255,215,177,153,140,144,160,188,113,136,160,195,181,149,120,102,89,89,96,46.370,100,0,0.716580,0.000020,103.485,16.7806,0.212750,0.000000,8.6410,134.998,5,-29.8272562,115.2926172
