Location_m,DO,pH,Temperature_C,Salinty
0.3,13.73,8.15,19.5,27
0.3,8.46,6.54,22.4,35
0.3,NA,NA,NA,NA
0.3,NA,NA,NA,NA
0.3,NA,NA,NA,NA
0.3,6.76,7.1,20.1,16
1.7,7.98,7.85,19.2,17
1.7,4.78,7.1,21,34
1.7,14.02,7.3,21.8,27
1.7,NA,NA,NA,NA
1.7,NA,NA,NA,NA
1.7,7.01,7.62,20,35
5.6,7.51,7.91,19.3,32
5.6,5.91,7.29,21,34
5.6,7.63,7.85,20.6,34
5.6,1.33,7.42,18.7,19
5.6,11.37,7.96,21,37
5.6,2.44,7.58,19.4,33
7.4,9.8,8.04,19.5,34
7.4,10.67,7.85,20.5,36
7.4,11.6,7.96,20.3,35
7.4,NA,NA,NA,NA
7.4,4.65,8.03,19.9,37
7.4,2.38,7.58,18.9,33
12.5,9.41,8.03,19.4,35
12.5,11.19,7.91,19.8,35
12.5,12.95,8.04,20.2,34
12.5,13.21,8.04,19.4,36
12.5,3.5,7.63,19.4,36
12.5,6.09,7.63,19.3,34
15.9,8.29,7.97,19.5,34
15.9,10.7,7.96,19.6,36
15.9,8.99,7.86,19.8,35
15.9,8.41,7.9,19.2,37
15.9,9.52,7.96,19.5,34.6
15.9,9.44,7.9,19.4,32
19.3,4.86,7.81,19,36
19.3,10.91,7.97,19.6,36
19.3,12.6,8.09,20.2,35
19.3,12.5,8.05,19.7,38
19.3,10.19,8.03,19.3,34
19.3,10.07,7.99,19,33
23.6,2.21,7.67,18.7,35
23.6,11.3,7.98,19.5,36
23.6,6.78,7.86,20.2,35
23.6,10.89,8.04,19.5,37
23.6,9.87,7.9,19,36
23.6,7.58,7.93,19.7,35
26.8,9.8,8.04,18.9,37
26.8,11.66,8,19.5,36
26.8,7.61,7.86,19.9,36
26.8,10.37,8,19.6,36
26.8,9.93,7.97,18.9,38
26.8,6.23,7.83,18.9,34
28.6,6.32,7.81,19,36
28.6,11.31,8.02,19.6,36
28.6,9.56,7.99,20.2,34
28.6,8.57,7.91,19.3,35
28.6,9.59,7.98,18.8,39
28.6,4.51,7.8,19,34
31.6,7.86,7.79,19.3,35
31.6,11.35,8.02,19.7,36
31.6,9.75,7.98,19.5,34
31.6,11.22,8.07,17.7,35
31.6,9.63,7.99,18.8,33
31.6,12.56,8.19,19.6,35
35.2,6.41,7.76,19,36
35.2,10.63,8.03,19.5,36
35.2,12.72,8.13,19.6,35
35.2,12.34,8.06,19,36
35.2,9.63,7.99,18.8,37
35.2,12.47,8.16,19.7,35
39.3,9.36,7.96,18.8,37
39.3,10.27,8.07,19.2,36
39.3,9.63,7.96,19,35
39.3,5.37,7.76,18.7,36
39.3,NA,NA,NA,NA
39.3,13.02,8.18,19.4,36
44.3,9.39,7.98,18.8,35
44.3,7.92,7.72,18.9,36
44.3,9.64,7.96,18.9,36
44.3,9.49,7.85,18.9,35
44.3,NA,NA,NA,NA
44.3,9.05,7.97,18.7,37
46.1,9.41,7.98,18.8,37
46.1,7.8,7.82,18.8,36
46.1,9.55,7.96,18.9,35
46.1,9.36,7.76,18.9,36
46.1,NA,NA,NA,NA
46.1,9.33,7.99,18.7,37
