"","date","Port_Nolloth","Muizenberg"
"1",2010-01-01,12.5,18
"2",2010-01-02,12.5,18.5
"3",2010-01-03,13,18.5
"4",2010-01-04,12,19
"5",2010-01-05,12,18.5
"6",2010-01-06,13,19
"7",2010-01-07,12.5,19
"8",2010-01-08,13,18
"9",2010-01-09,12.5,17.5
"10",2010-01-10,13.5,18.5
"11",2010-01-11,13,18.5
"12",2010-01-12,13,18
"13",2010-01-13,12.5,18.5
"14",2010-01-14,13,18.5
"15",2010-01-15,13,18.5
"16",2010-01-16,13.5,17.5
"17",2010-01-17,12.5,NA
"18",2010-01-18,13,18
"19",2010-01-19,13.5,19
"20",2010-01-20,13,20
"21",2010-01-21,13,20
"22",2010-01-22,13,19
"23",2010-01-23,13,18.5
"24",2010-01-24,13,19.5
"25",2010-01-25,12.5,19.5
"26",2010-01-26,13,19.5
"27",2010-01-27,13,20.5
"28",2010-01-28,13,18.5
"29",2010-01-29,13.5,17.5
"30",2010-01-30,13,17.5
"31",2010-01-31,12.5,18.5
"32",2010-02-01,13,18.5
"33",2010-02-02,13.5,18
"34",2010-02-03,13,18.5
"35",2010-02-04,13.5,19
"36",2010-02-05,13.5,19
"37",2010-02-06,13,19.5
"38",2010-02-07,12.5,19.5
"39",2010-02-08,13,21
"40",2010-02-09,13,20.5
"41",2010-02-10,13.5,21
"42",2010-02-11,13.5,21
"43",2010-02-12,13,21.5
"44",2010-02-13,13,20.5
"45",2010-02-14,13.5,20.5
"46",2010-02-15,14,21
"47",2010-02-16,14,20
"48",2010-02-17,13,18.5
"49",2010-02-18,13,17.5
"50",2010-02-19,13,18
"51",2010-02-20,13.5,18
"52",2010-02-21,13,18.5
"53",2010-02-22,13,19.5
"54",2010-02-23,13.5,19.5
"55",2010-02-24,13.5,20
"56",2010-02-25,13.5,20.5
"57",2010-02-26,14,20.5
"58",2010-02-27,13.5,20
"59",2010-02-28,13.5,20
"60",2010-03-01,13.5,18.5
"61",2010-03-02,13.5,17.5
"62",2010-03-03,14,17.5
"63",2010-03-04,13,18
"64",2010-03-05,13.5,18.5
"65",2010-03-06,13,19
"66",2010-03-07,14,19
"67",2010-03-08,14,19.5
"68",2010-03-09,13.5,20.5
"69",2010-03-10,13,19
"70",2010-03-11,13,17.5
"71",2010-03-12,13,18.5
"72",2010-03-13,13.5,18
"73",2010-03-14,13.5,18
"74",2010-03-15,13.5,18
"75",2010-03-16,14,17
"76",2010-03-17,15,16
"77",2010-03-18,13,15.5
"78",2010-03-19,13,16
"79",2010-03-20,13.5,17
"80",2010-03-21,13,17
"81",2010-03-22,12.5,16.5
"82",2010-03-23,14,16
"83",2010-03-24,14,16.5
"84",2010-03-25,13.5,16.5
"85",2010-03-26,14,16
"86",2010-03-27,13.5,16
"87",2010-03-28,13,17
"88",2010-03-29,13,17.5
"89",2010-03-30,14,16
"90",2010-03-31,13,15.5
"91",2010-04-01,12,15
"92",2010-04-02,12.5,NA
"93",2010-04-03,12,NA
"94",2010-04-04,12,NA
"95",2010-04-05,12.5,NA
"96",2010-04-06,13.5,NA
"97",2010-04-07,13,15
"98",2010-04-08,12.5,15
"99",2010-04-09,12.5,15
"100",2010-04-10,13,NA
"101",2010-04-11,12.5,15
"102",2010-04-12,13,NA
"103",2010-04-13,13,NA
"104",2010-04-14,12.5,NA
"105",2010-04-15,12,15
"106",2010-04-16,12,NA
"107",2010-04-17,12.5,NA
"108",2010-04-18,12,15
"109",2010-04-19,12,NA
"110",2010-04-20,12,NA
"111",2010-04-21,12.5,NA
"112",2010-04-22,12,NA
"113",2010-04-23,12,15
"114",2010-04-24,12.5,15
"115",2010-04-25,13,NA
"116",2010-04-26,13,15
"117",2010-04-27,12.5,NA
"118",2010-04-28,12,15
"119",2010-04-29,13,NA
"120",2010-04-30,12.5,NA
"121",2010-05-01,12,NA
"122",2010-05-02,12.5,NA
"123",2010-05-03,12,NA
"124",2010-05-04,12.5,NA
"125",2010-05-05,13,14
"126",2010-05-06,13,14.5
"127",2010-05-07,12.5,14
"128",2010-05-08,12.5,14
"129",2010-05-09,12.5,14
"130",2010-05-10,12,14
"131",2010-05-11,12,13.5
"132",2010-05-12,12.5,13
"133",2010-05-13,12.5,12.5
"134",2010-05-14,12,13
"135",2010-05-15,12,13
"136",2010-05-16,12.5,13
"137",2010-05-17,12.5,12.5
"138",2010-05-18,12,13
"139",2010-05-19,12,13
"140",2010-05-20,12,12.5
"141",2010-05-21,12.5,12
"142",2010-05-22,12.5,13
"143",2010-05-23,13,13.5
"144",2010-05-24,12,13.5
"145",2010-05-25,12,13
"146",2010-05-26,12.5,13
"147",2010-05-27,12,12.5
"148",2010-05-28,12,12
"149",2010-05-29,12.5,12
"150",2010-05-30,13,12
"151",2010-05-31,13,12
"152",2010-06-01,12.5,12.5
"153",2010-06-02,12.5,13
"154",2010-06-03,12,13
"155",2010-06-04,12.5,13
"156",2010-06-05,12.5,13.5
"157",2010-06-06,13,13.5
"158",2010-06-07,12.5,12.5
"159",2010-06-08,13,11.5
"160",2010-06-09,13,11
"161",2010-06-10,13,11
"162",2010-06-11,12.5,11
"163",2010-06-12,12,11.5
"164",2010-06-13,13,11.5
"165",2010-06-14,12,11
"166",2010-06-15,12,10
"167",2010-06-16,12.5,10.5
"168",2010-06-17,13,10.5
"169",2010-06-18,12,10
"170",2010-06-19,11.5,10
"171",2010-06-20,11.5,10.5
"172",2010-06-21,12,11
"173",2010-06-22,11.5,11.5
"174",2010-06-23,11,10.5
"175",2010-06-24,11,10.5
"176",2010-06-25,11.5,10
"177",2010-06-26,12,10.5
"178",2010-06-27,12,11
"179",2010-06-28,11.5,11
"180",2010-06-29,11,11.5
"181",2010-06-30,11,11
"182",2010-07-01,11,11
"183",2010-07-02,11.5,11
"184",2010-07-03,12,11
"185",2010-07-04,12,11.5
"186",2010-07-05,12,11.5
"187",2010-07-06,12.5,11.5
"188",2010-07-07,12,10.5
"189",2010-07-08,12,10.5
"190",2010-07-09,11.5,11
"191",2010-07-10,11.5,10.5
"192",2010-07-11,12,10
"193",2010-07-12,11.5,10
"194",2010-07-13,11,10
"195",2010-07-14,11,10.5
"196",2010-07-15,11,9.5
"197",2010-07-16,11.5,10
"198",2010-07-17,12.5,10.5
"199",2010-07-18,12.5,10
"200",2010-07-19,12,10.5
"201",2010-07-20,12.5,11
"202",2010-07-21,12.5,11
"203",2010-07-22,11.5,11
"204",2010-07-23,12,10.5
"205",2010-07-24,12,10.5
"206",2010-07-25,11.5,11
"207",2010-07-26,12,11.5
"208",2010-07-27,12,11.5
"209",2010-07-28,11.5,11
"210",2010-07-29,12,11
"211",2010-07-30,12,11.5
"212",2010-07-31,12,11.5
"213",2010-08-01,12,11.5
"214",2010-08-02,12.5,11.5
"215",2010-08-03,12,11.5
"216",2010-08-04,12.5,12
"217",2010-08-05,12.5,12.5
"218",2010-08-06,12,12.5
"219",2010-08-07,12.5,11.5
"220",2010-08-08,13,11.5
"221",2010-08-09,12.5,11
"222",2010-08-10,12.5,11
"223",2010-08-11,12,11.5
"224",2010-08-12,12.5,12
"225",2010-08-13,12,11.5
"226",2010-08-14,12,11.5
"227",2010-08-15,11.5,11.5
"228",2010-08-16,12,11.5
"229",2010-08-17,12,12
"230",2010-08-18,12,12.5
"231",2010-08-19,12.5,12.5
"232",2010-08-20,12,11
"233",2010-08-21,12.5,11
"234",2010-08-22,12,11
"235",2010-08-23,12.5,11.5
"236",2010-08-24,12.5,11.5
"237",2010-08-25,12,11.5
"238",2010-08-26,12,12
"239",2010-08-27,12,12.5
"240",2010-08-28,12.5,12.5
"241",2010-08-29,12,13.5
"242",2010-08-30,12,13.5
"243",2010-08-31,12,13.5
"244",2010-09-01,12.5,13
"245",2010-09-02,12,12
"246",2010-09-03,12,13
"247",2010-09-04,12.5,13
"248",2010-09-05,12,12.5
"249",2010-09-06,12,13
"250",2010-09-07,12.5,12.5
"251",2010-09-08,12.5,12.5
"252",2010-09-09,12,13.5
"253",2010-09-10,12,14
"254",2010-09-11,12.5,13.5
"255",2010-09-12,12,13.5
"256",2010-09-13,12.5,13.5
"257",2010-09-14,12.5,14
"258",2010-09-15,12,14.5
"259",2010-09-16,12.5,14.5
"260",2010-09-17,12.5,14
"261",2010-09-18,12.5,14.5
"262",2010-09-19,12.5,14
"263",2010-09-20,12,14
"264",2010-09-21,12,14
"265",2010-09-22,12.5,14
"266",2010-09-23,12.5,NA
"267",2010-09-24,12,NA
"268",2010-09-25,12,NA
"269",2010-09-26,12,NA
"270",2010-09-27,12.5,14.5
"271",2010-09-28,12,14.5
"272",2010-09-29,12.5,14.5
"273",2010-09-30,12,15
"274",2010-10-01,12.5,15
"275",2010-10-02,12,NA
"276",2010-10-03,12,NA
"277",2010-10-04,12,16
"278",2010-10-05,12.5,16
"279",2010-10-06,12,17
"280",2010-10-07,12.5,17
"281",2010-10-08,12.5,15.5
"282",2010-10-09,12.5,NA
"283",2010-10-10,12,NA
"284",2010-10-11,12.5,15
"285",2010-10-12,12.5,15
"286",2010-10-13,12.5,14.5
"287",2010-10-14,13,14.5
"288",2010-10-15,12.5,14.5
"289",2010-10-16,12.5,15
"290",2010-10-17,13,15.5
"291",2010-10-18,13,16
"292",2010-10-19,12.5,16
"293",2010-10-20,12,16.5
"294",2010-10-21,12,16
"295",2010-10-22,12.5,15
"296",2010-10-23,13,15
"297",2010-10-24,13,15
"298",2010-10-25,12.5,15.5
"299",2010-10-26,13,15.5
"300",2010-10-27,12.5,15.5
"301",2010-10-28,12.5,15.5
"302",2010-10-29,12.5,15.5
"303",2010-10-30,13,15
"304",2010-10-31,12.5,15.5
"305",2010-11-01,12.5,16
"306",2010-11-02,12.5,16.5
"307",2010-11-03,13,17.5
"308",2010-11-04,13.5,17
"309",2010-11-05,13,16.5
"310",2010-11-06,13,17
"311",2010-11-07,13,17
"312",2010-11-08,12.5,17.5
"313",2010-11-09,13,16
"314",2010-11-10,13,16
"315",2010-11-11,13,16
"316",2010-11-12,12.5,16.5
"317",2010-11-13,13,15.5
"318",2010-11-14,12.5,16
"319",2010-11-15,12.5,16.5
"320",2010-11-16,13,17.5
"321",2010-11-17,12,17.5
"322",2010-11-18,12.5,17.5
