"alpha","nu","k","q_critical"
"0.50","1",2,"1.414"
"0.50","1",3,"2.338"
"0.50","1",4,"2.918"
"0.50","1",5,"3.335"
"0.50","1",6,"3.658"
"0.50","1",7,"3.920"
"0.50","1",8,"4.139"
"0.50","1",9,"4.327"
"0.50","1",10,"4.491"
"0.50","2",2,"1.155"
"0.50","2",3,"1.908"
"0.50","2",4,"2.377"
"0.50","2",5,"2.713"
"0.50","2",6,"2.973"
"0.50","2",7,"3.184"
"0.50","2",8,"3.361"
"0.50","2",9,"3.513"
"0.50","2",10,"3.645"
"0.50","3",2,"1.082"
"0.50","3",3,"1.791"
"0.50","3",4,"2.230"
"0.50","3",5,"2.545"
"0.50","3",6,"2.789"
"0.50","3",7,"2.986"
"0.50","3",8,"3.152"
"0.50","3",9,"3.294"
"0.50","3",10,"3.418"
"0.50","4",2,"1.048"
"0.50","4",3,"1.736"
"0.50","4",4,"2.163"
"0.50","4",5,"2.468"
"0.50","4",6,"2.704"
"0.50","4",7,"2.895"
"0.50","4",8,"3.055"
"0.50","4",9,"3.193"
"0.50","4",10,"3.313"
"0.50","5",2,"1.028"
"0.50","5",3,"1.705"
"0.50","5",4,"2.124"
"0.50","5",5,"2.423"
"0.50","5",6,"2.655"
"0.50","5",7,"2.843"
"0.50","5",8,"3.000"
"0.50","5",9,"3.135"
"0.50","5",10,"3.253"
"0.50","6",2,"1.015"
"0.50","6",3,"1.684"
"0.50","6",4,"2.098"
"0.50","6",5,"2.394"
"0.50","6",6,"2.623"
"0.50","6",7,"2.808"
"0.50","6",8,"2.964"
"0.50","6",9,"3.097"
"0.50","6",10,"3.213"
"0.50","7",2,"1.006"
"0.50","7",3,"1.670"
"0.50","7",4,"2.080"
"0.50","7",5,"2.374"
"0.50","7",6,"2.601"
"0.50","7",7,"2.784"
"0.50","7",8,"2.938"
"0.50","7",9,"3.070"
"0.50","7",10,"3.186"
"0.50","8",2,"0.999"
"0.50","8",3,"1.659"
"0.50","8",4,"2.067"
"0.50","8",5,"2.359"
"0.50","8",6,"2.584"
"0.50","8",7,"2.767"
"0.50","8",8,"2.919"
"0.50","8",9,"3.051"
"0.50","8",10,"3.165"
"0.50","9",2,"0.994"
"0.50","9",3,"1.651"
"0.50","9",4,"2.057"
"0.50","9",5,"2.347"
"0.50","9",6,"2.571"
"0.50","9",7,"2.753"
"0.50","9",8,"2.905"
"0.50","9",9,"3.035"
"0.50","9",10,"3.149"
"0.50","10",2,"0.990"
"0.50","10",3,"1.645"
"0.50","10",4,"2.049"
"0.50","10",5,"2.338"
"0.50","10",6,"2.561"
"0.50","10",7,"2.742"
"0.50","10",8,"2.893"
"0.50","10",9,"3.023"
"0.50","10",10,"3.137"
"0.50","11",2,"0.986"
"0.50","11",3,"1.639"
"0.50","11",4,"2.042"
"0.50","11",5,"2.330"
"0.50","11",6,"2.553"
"0.50","11",7,"2.733"
